COUNTRY,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT,FREQUENCY,SCALE,BOP_ACCOUNTING_ENTRY
Iceland,"Financial derivatives, Total financial assets/liabilities",2012-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2012-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2012-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2012-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2013-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2013-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2013-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2013-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2014-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2014-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2014-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2014-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2015-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2015-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2015-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2015-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2016-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2016-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2016-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2016-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2017-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2017-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2017-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2017-Q4,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2018-Q1,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2018-Q2,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
Iceland,"Financial derivatives, Total financial assets/liabilities",2018-Q3,0.0,US dollar,Quarterly,Millions,"Liabilities, Net incurrence of liabilities"
