COUNTRY,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","Assets - Other investment, Debt instruments","Liabilities - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Total financial assets/liabilities","Assets - Portfolio investment, Equity and investment fund shares","Liabilities - Portfolio investment, Debt securities","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Liabilities - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Debt securities","Assets - Direct investment, Total financial assets/liabilities","Assets - Portfolio investment, Total financial assets/liabilities"
Finland,2016,4,US dollar,-5858673047,-48867591094,-41674262695,-306420468.8,1000182305,4634070117,1306602773,3005941641,-3548651133,-1091892656,-7182538945,1914048984,-2548468828
Finland,2017,1,US dollar,-8518375385,33069398040,39353829480,1557797898,5206856954,3311518431,3649059055,-2556577412,-1160628646,12578446052,734709876.9,10021868640,4046228308
Finland,2017,2,US dollar,-10416236727,-19432767535,-21375823863,3533430848,793534064.5,715282788.7,-2739896784,2388317108,105804541.9,-2106171663,184055817.7,282145445.2,899338606.5
Finland,2017,3,US dollar,-4685510085,14748374185,6993614200,8255142862,3170266162,6122055292,-5084876700,1759562323,4087634769,3240742623,1135845638,5000304946,7259075538
Finland,2017,4,US dollar,14300526886,-26996277043,-13488130743,-2970544157,4253894586,2345352343,7224438743,-4689527300,-6187161929,3196602214,-4278619686,-1494102471,-1933267343
Finland,2018,1,US dollar,-10278689857,12585925071,8303342500,4974630214,11082596000,5001672929,6107965786,1320176143,-4696827786,4484173714,1384095286,5804349857,6385768214
Finland,2018,2,US dollar,4721876757,2279321281,1386894914,2728513190,5557111581,-1044937148,2828598390,10775839867,-8373795067,-9971583795,-1771746338,804256071.4,-2816683486
Finland,2018,3,US dollar,10771956951,21064798468,17983109391,1059403302,-3403812803,436088076.9,-4463216105,562844344.6,2403717480,2467677065,-1435020498,3030521409,-998932421.5
Finland,2018,4,US dollar,11338791775,-23204916125,-14981039063,2209774600,14878311938,2403814725,12668537338,1165382163,-13944636513,-7509352838,-1471280713,-6342829263,932534012.5
Finland,2019,1,US dollar,17005905600,38952416914,58482006629,-4799770057,19044615314,3127914514,23844385371,-3718515657,-19888493486,6552265371,-3972928457,2833749714,-843878171.4
Finland,2019,2,US dollar,6112928000,-9300864900,-224740000,-2768796800,5609510400,-536004900,8378307200,1712518800,-8028836500,-2100195300,-1883321200,-386552800,-2419326100
Finland,2019,3,US dollar,3684977194,9850697936,6310273258,2002608306,-3989649418,653822145.5,-5992257724,-2199422115,2845460664,7314357267,-1798010900,5114935152,-1144188755
Finland,2019,4,US dollar,-31025545550,-48118158944,-46449749825,2286174406,2164392719,1709372050,-121781687.5,-5357287144,-3301390837,4513672181,-2845263062,-843614962.5,-1136998119
Finland,2020,1,US dollar,36814540720,42385183777,45301721956,-2290226767,1769770805,513839996.9,4058894911,2101671747,1220645658,2912127536,2476576466,5013799283,2990416462
Finland,2020,2,US dollar,-21692327129,-19014792361,-10349977052,1605860013,9518410310,1114629858,7912550297,1511138503,-11372088226,-1511138503,-2968307774,-1101412.903,-1853677916
Finland,2020,3,US dollar,-4759803988,-156634021.2,-9283488033,3163072100,-4935140579,2945654727,-8098212679,2450036630,9056719376,-114553239.4,1175924070,2335483391,4121578797
Finland,2020,4,US dollar,-16803167729,-35441013292,-33629000529,5167636135,237386793.8,6302082572,-4930249342,2064907237,955511667.7,-3822046671,-5109184111,-1755946535,1192898462
Finland,2021,1,US dollar,6460392933,51046983924,50666252076,-465071181,6594131019,9630347019,7059202200,-4056721933,9618298543,8264049819,6582082543,4206123038,16212429562
Finland,2021,2,US dollar,1121435333,7872958378,-4078165911,4202367889,6069015089,6551352867,1865441356,-703007311.1,4023902911,1304723689,3540359289,601716377.8,10091712156
Finland,2021,3,US dollar,5827979709,8493243083,19024628747,642445174.2,1439312950,658948353,796867775.8,-3150928350,1623205514,11158506458,2403570111,8006399309,3062518464
Finland,2021,4,US dollar,-20517139142,-76413821698,-94603885924,1811344800,-21686965992,-8505544585,-23498310792,4440310517,8471238812,2851953239,-4710182595,7292263756,-13216870706
Finland,2022,1,US dollar,17626148269,69381787016,66391376472,-548503659.4,12064837138,9579184563,12612219113,2238882013,6652710028,2980315384,9138362603,5219197397,18716425481
Finland,2022,2,US dollar,7758121900,15225593700,13476369838,306619885.7,-4760060795,2303907752,-5066680681,-401373947.6,3849783010,-243805395.2,-3213120886,-646243995.2,-910277785.7
Finland,2022,3,US dollar,16475889436,9130111815,10602288221,-434000021.2,-1789368997,-4360139424,-1355368976,2276737930,-3445819194,7222928427,-875048766.7,9499666358,-5235188191
Finland,2022,4,US dollar,-23243335050,-56030561450,-43265912925,3782042487,17873365387,-228596200,14091322900,4863792362,-15582300794,3119725819,2519660794,7983518181,2291064594
Finland,2023,1,US dollar,975362593.8,33067903649,25155556271,-796170566.2,10286909997,6174077409,11083080563,-1799431320,5929432006,3028023366,10043337600,1228592046,16216342003
Finland,2023,2,US dollar,4558299108,8270694608,6417762895,-536718762.9,8291379510,8346902140,8828098273,2989512623,-2681416456,-4139157681,-2736939087,-1148556379,5609963053
Finland,2023,3,US dollar,-18919237338,-25966876377,-31050972431,-1124356931,1111295669,2199734131,2235652600,1730617154,1520548531,3531982808,432110069.2,5262599962,2631844200
Finland,2023,4,US dollar,-8611576429,-12678691738,-3751034976,-1375056960,-1870679524,-5577635270,-495622563.5,-3651050381,-3286590405,-2761940056,420365341.3,-6412990437,-5157269929
Finland,2024,1,US dollar,18829723384,28181609413,17506148663,1482099667,9823117717,14800366708,8341018051,-3526637156,5922969730,4437612702,944634952.4,910975546,15746087448
Finland,2024,2,US dollar,-20419946635,-25926279727,-25839065613,4668646908,7826659219,2822076463,3158012311,1856260902,-2229881860,-3755590502,2774700895,-1899329600,5596777359
Finland,2024,3,US dollar,1904531018,-3660785400,4740458982,10066336091,23717671745,9887305782,13651335655,3893634636,-7746630491,1712320564,6082637127,5605955200,15971041255
Finland,2024,4,US dollar,-26536808050,-56338912438,-61358090550,3064486488,-256353000,-1521027800,-3320839488,1265742938,3622054263,143130425,4886729063,1408873363,3365701263
Finland,2025,1,US dollar,16722755119,28016481627,23034698056,-1204930754,12079825437,4530329167,13284756190,2156247262,398837341.3,1639547698,7949385952,3796847302,12479715119
"Netherlands, The",1999,1,US dollar,3572341500,11229602229,11439344100,4093892143,21836708529,9018900471,17742816386,-2896008086,-6785766429,11391114686,6032041629,8495106600,15050942100
"Netherlands, The",1999,2,US dollar,-3628379952,-820163950.8,-2208946723,7067572602,24238169952,19005397117,17170597351,1653010849,8581071026,3270086680,13813843862,4923097529,32819240978
"Netherlands, The",1999,3,US dollar,7774073267,5954810100,8993556300,13166851633,35110206267,11925348700,21943354633,18386616500,-14136775800,10980590133,9048081767,29367206633,20973430467
"Netherlands, The",1999,4,US dollar,-17201659514,-17909572366,-11981580725,6163616594,18911237912,12717519452,12747621318,-1152174877,6732438065,15520106991,12926156525,14367932114,25643675977
"Netherlands, The",2000,1,US dollar,30863133351,35056542111,39862537754,1751939298,7378663262,3342100418,5626723963,-2695974157,14050040218,11406348034,18086603062,8710373877,21428703480
"Netherlands, The",2000,2,US dollar,1707753048,2681078966,2037172079,6538921098,17721437371,10136400881,11182516273,2120226735,7513180215,15045024397,15098216705,17165251132,25234617585
"Netherlands, The",2000,3,US dollar,-6338479708,7932604638,-4356912715,5402463138,13571335015,3137556508,8168871877,11773531431,-1564252062,12628981777,8869526446,24402513208,12007082954
"Netherlands, The",2000,4,US dollar,-8195030381,-27279430968,-9200523619,3278706794,16568062587,6827455381,13289355794,205787476.2,-9605152159,24029378127,135455047.6,24235165603,6962910429
"Netherlands, The",2001,1,US dollar,61398455141,73897871488,63305818622,3228485041,11369400422,8833327100,8140915381,7057060238,6002747994,10353863234,8538821316,17410923472,17372148416
"Netherlands, The",2001,2,US dollar,-29804333547,-21252787158,-25115423202,2819104824,26760119145,10130803502,23941014321,4882609284,-6454886255,7553386092,10174429389,12435995376,20305232890
"Netherlands, The",2001,3,US dollar,15900235938,11289523625,15001952732,3423091108,17266801569,7413284695,13843710462,-5118166652,-10212295994,13671888203,-358779120,8553721551,7054505575
"Netherlands, The",2001,4,US dollar,13254535206,-6134981892,16511056698,3480491333,18813466667,3193809937,15332975333,-8040517302,-2535338603,20419778368,13084318127,12379261067,16278128063
"Netherlands, The",2002,1,US dollar,8261048000,23246469855,10310531258,2582454097,14193854968,4600379871,11611400871,8204069210,8681814452,2840173548,18275289548,11044242758,22875669419
"Netherlands, The",2002,2,US dollar,-6113811381,-2003022063,-2390763032,-2300718921,11797616190,-305966214.3,14098335111,151604881,-1206407325,6587921190,10897175079,6739526071,10591208865
"Netherlands, The",2002,3,US dollar,-6084503121,13060285115,-4568542036,-2443638764,17789178648,1950779255,20232817412,-3451984067,7105637194,8049054897,22944036588,4597070830,24894815842
"Netherlands, The",2002,4,US dollar,24589314312,17914572175,25010045925,2017712887,6028154600,1678929000,4010441712,1403104950,-60961112.5,8007891712,4288264487,9410996662,5967193487
"Netherlands, The",2003,1,US dollar,36351479838,15865273600,43494287000,556958671.4,21308230019,2967226833,20751271348,-1840431833,-9000409205,8505692543,9340593981,6665260710,12307820814
"Netherlands, The",2003,2,US dollar,9208234892,20471463047,10586570163,-2058404984,33379140708,6667640011,35437545692,4423864855,-4902643031,4125907890,21808857666,8549772745,28476497677
"Netherlands, The",2003,3,US dollar,-6083830118,-9723555439,-5446090855,1165251988,9669566930,1359835573,8504314942,78733242.42,-1430695491,10554753527,6879035867,10633486770,8238871439
"Netherlands, The",2003,4,US dollar,16729032141,14642361820,17890671402,1230600445,20960633092,4417082758,19730032647,21553937075,-6537044684,-2729911713,10006505650,18824025363,14423588408
"Netherlands, The",2004,1,US dollar,33756321975,22506297525,47214610500,-534882300,22498799175,4114094700,23033681475,-444902100,3170552325,36019573950,21555256800,35574671850,25669351500
"Netherlands, The",2004,2,US dollar,-139734520.6,11052277817,6386831279,2022536725,26914555125,10195801575,24893223008,2600748535,2197204876,31489656068,18915958427,34090404603,29111760002
"Netherlands, The",2004,3,US dollar,9097699758,26132210788,15151427709,-2392652267,4328281067,5750674958,6720933333,-1474939370,23036915491,35369217164,21614521600,33894277794,27365196558
"Netherlands, The",2004,4,US dollar,16131445012,17697743309,12474586188,5085603170,19957002079,13860507133,14871398909,10895311103,10285402073,37042241000,16381897018,47937552103,30242404152
"Netherlands, The",2005,1,US dollar,46118307548,48292437600,57762622903,4013879426,30875793845,6932826045,26861914419,-5275346923,5032757019,48654355510,28975724819,43379008587,35908550865
"Netherlands, The",2005,2,US dollar,3497272626,-9077544505,22358868637,1817272020,45075398572,-3726478106,43256867182,-10312987229,-26261658651,41017705954,22538958657,30704718725,18813739922
"Netherlands, The",2005,3,US dollar,26826067455,18900239339,24820516982,78028600570,70300399691,4158711412,-7728200879,65185270048,-52751833055,50640149436,13389855224,115825000000,17548566636
"Netherlands, The",2005,4,US dollar,-27500511295,-19210309195,-37144288537,-499123406.2,7652037173,7876642706,8151160580,7100624648,21261468717,69576614442,21036863184,76677239091,28913505891
"Netherlands, The",2006,1,US dollar,103263000000,96940370745,127921000000,10534566080,29753356172,-20565367815,19218790092,54585692148,-34569776135,59922708677,15748947852,114508000000,-4816419963
"Netherlands, The",2006,2,US dollar,-3843934040,-20894392365,887061701.6,-5423029694,30484724690,16245182453,35907754384,6356646406,-10021909863,199204000000,4217632374,205561000000,20462814827
"Netherlands, The",2006,3,US dollar,34481200442,32080425038,46569181054,26871099217,43719853134,5417036220,16848753917,52521421982,-36207872772,68659118215,2096218438,121181000000,7511980362
"Netherlands, The",2006,4,US dollar,66905108268,53029743730,69874258440,7099413322,28471108827,9341740275,21371695505,34690344386,-7605869927,47720325889,11523498625,82410670275,20865238900
"Netherlands, The",2007,1,US dollar,126202000000,76281343906,154349000000,11746781758,72829260547,-16011428398,61083789375,25353284961,-81282539844,106863000000,7558149102,132216000000,-8453279297
"Netherlands, The",2007,2,US dollar,8754812781,37143917729,26589339771,-4176533723,25485214168,9271149906,29661747890,28487519074,-9001522165,127108000000,7213890235,155595000000,16483692003
"Netherlands, The",2007,3,US dollar,57890416126,69344030423,70246636228,-52683603342,-69452562932,12385070515,-16768959591,-70984382525,81090270346,260187000000,-747363101.5,189202000000,11637707414
"Netherlands, The",2007,4,US dollar,1331270580,-201356485.9,19144800850,-95918117697,-86442773995,26397980167,9475343702,-120265000000,124324000000,239669000000,11483114130,119404000000,37881094297
"Netherlands, The",2008,1,US dollar,57569365603,112684000000,109301000000,-11464152694,-6622401465,-7812996029,4841751229,9172819758,-18940187997,115053000000,-17749593432,124226000000,-25562589461
"Netherlands, The",2008,2,US dollar,-9549805012,-6590974537,16418853375,2460484687,59901476100,21535099312,57442553625,7062762712,-22891099762,56411493375,15475277025,63474256087,37010376337
"Netherlands, The",2008,3,US dollar,31739424295,39174236568,4620419773,-5722096409,9666760977,16892375091,15387352364,9439502545,18555425205,97120621614,11329811091,106560000000,28222186182
"Netherlands, The",2008,4,US dollar,-195547000000,-298989000000,-201155000000,670837345.3,30485537592,-3616459088,29814700247,51384295519,-68609922441,-73055373061,-34507925761,-21671077542,-38124384848
"Netherlands, The",2009,1,US dollar,5117635327,7594372790,-3513814276,4444056543,60414935781,12923071489,55970879238,53749502397,-13011665990,86324918914,34480198302,140074000000,47403269790
"Netherlands, The",2009,2,US dollar,-59492281668,-10361597382,-187911000000,5897154358,11574835334,10508821763,5677680976,26662607973,1731249661,32589752482,2797263232,59252360455,13306084995
"Netherlands, The",2009,3,US dollar,-5209169155,-16617278209,6207521727,10025004559,54454554655,14320209109,44429550095,-4371010691,-39390587182,43050736514,743758363.6,38679725823,15063967473
"Netherlands, The",2009,4,US dollar,-54899673535,-20639475069,-48195723738,-1578443206,11457014732,5799448634,13035457938,25627532954,-9049445460,41236089789,-3391879362,66863622743,2407569272
"Netherlands, The",2010,1,US dollar,36084216787,35210218971,41209273600,3089416330,44706647771,-8336169041,41617231441,46514108444,-35228196775,-78015368330,17814620038,-31501259886,9478450997
"Netherlands, The",2010,2,US dollar,-52893731035,-47541328692,-22809976746,1482966176,-9930917452,-10856024030,-11413883629,7290297303,-33117036433,97526311160,-32191929856,104817000000,-43047953886
"Netherlands, The",2010,3,US dollar,58795225039,31506525370,71069136558,5409455061,37166442073,11490250606,31756987012,20581750018,-30666058724,53855708318,-4989867258,74437458336,6500383348
"Netherlands, The",2010,4,US dollar,-13937205361,-22702119715,-39177931139,13176574330,21986311585,-2971894097,8809737255,39103226306,-33433808591,-17987565597,-8475602909,21115660709,-11447497006
"Netherlands, The",2011,1,US dollar,81582763720,24864569200,59763338173,4889192909,31385773061,2679890573,26496580152,10786593758,-1432284548,178536000000,27273597939,189323000000,29953488512
"Netherlands, The",2011,2,US dollar,48705050167,-19585632524,30519624876,10857722071,72130099852,9340950824,61272377781,38481954395,-62734464676,58094929095,54684352.38,96576883490,9395635176
"Netherlands, The",2011,3,US dollar,-26580007515,73914035248,77878079952,-4315807758,-48763683200,18414584000,-44447875442,-15387161406,48516460170,27734185891,-18661807030,12347024485,-247223030.3
"Netherlands, The",2011,4,US dollar,-132665000000,-38832247619,-77926037247,-4330272856,-45078248286,-5354870419,-40747975430,-5298247922,22464301558,92306803298,-17259076309,87008555377,-22613946728
"Netherlands, The",2012,1,US dollar,41425941700,32314410492,48200275362,4920829831,58208409554,3524803254,53287579723,22641847008,-43911262254,87136964038,10772344046,109779000000,14297147300
"Netherlands, The",2012,2,US dollar,-13976458495,-59937184345,-57065519956,-4719473424,-18438366305,6706957345,-13718892881,321636662.9,23302640298,90363243803,-1842683352,90684880466,4864273994
"Netherlands, The",2012,3,US dollar,-13110065037,-26306396952,-20421495548,4582146515,7190156783,990193735.4,2608010268,14031495318,-6388749985,114629000000,-188786936.9,128660000000,801406798.5
"Netherlands, The",2012,4,US dollar,-36357996056,2540223056,-42292963350,2436487556,-189317287.5,5062292400,-2625804844,23200444575,38051478094,-30742015425,32799868406,-7541570850,37862160806
"Netherlands, The",2013,1,US dollar,13696243694,-23056862274,-22281653032,3750586452,14348634435,6455234710,10598047984,33685284726,-12844437968,80178029806,-4951038242,113863000000,1504196468
"Netherlands, The",2013,2,US dollar,3162387057,-5985153860,-141073028.6,23280968410,39975916356,-11824009765,16694947946,54593955825,-49071208003,72917774759,2728718117,127512000000,-9095291648
"Netherlands, The",2013,3,US dollar,9148751245,-10491468536,-21711235406,-10059786252,-14266702261,5772095336,-4206916009,21940318336,23091029703,55847240379,3052232106,77787558715,8824327442
"Netherlands, The",2013,4,US dollar,-28466251144,-50013281556,-32611795272,469537992.2,-31517567603,3330317295,-31987105595,-37034979256,32180364711,115495000000,-2667520187,78460478984,662797107.8
"Netherlands, The",2014,1,US dollar,72083718794,61401960806,69139010540,5793542286,2699544171,10588623029,-3093998114,2496838673,30579767994,11073472667,22690689137,13570311340,33279312165
"Netherlands, The",2014,2,US dollar,35449081573,-7719138629,8965443605,14514174339,9457658661,11895425710,-5056515677,-25070062137,17870560016,53526673548,15432792968,28456611411,27328218677
"Netherlands, The",2014,3,US dollar,5958388114,-6330870218,-25631010582,10214758355,-13287404327,8997895109,-23502162682,8663854218,38437236959,89618399018,16151937523,98282253236,25149832632
"Netherlands, The",2014,4,US dollar,-11308232813,-1850960742,3296984766,23091391406,37097952539,2652085547,14006561133,38115293555,-32779877344,-10074675586,1665989648,28040617969,4318075195
"Netherlands, The",2015,1,US dollar,36952125571,12492302714,68285924429,423429714.3,6185902714,-24655771714,5762473000,9970868857,-11422467000,8378502857,19419207429,18349371714,-5236564286
"Netherlands, The",2015,2,US dollar,-10973130168,15912586123,-1378272897,3381023890,8023161955,-17877757903,4642138065,-41649925877,-19865035103,107426000000,6035884755,65775780561,-11841873148
"Netherlands, The",2015,3,US dollar,-4138672950,14119066650,21423718800,47699789850,16425740400,6182997300,-31274049450,31748724000,-6984496950,192460000000,3258246150,224209000000,9441243450
"Netherlands, The",2015,4,US dollar,-23781614212,-10883705634,-59181860745,28570138015,7747945422,-2533361289,-20822192594,31522988009,-138004116.9,67743592348,10143302594,99266580357,7609941305
"Netherlands, The",2016,1,US dollar,32100064035,41297329113,48657565568,38644822877,44532791642,12245388155,5887968765,46614463548,-10927400013,52144283361,21360003474,98758746910,33605391629
"Netherlands, The",2016,2,US dollar,20293489097,47875063366,68357134772,7354710060,15830750857,16072407229,8476040797,7975789522,5316440191,31996884623,5074783818,39972674145,21147191048
"Netherlands, The",2016,3,US dollar,-33580377538,-19355643409,-7948163712,3547529659,33909783030,9949162500,30362253371,54118530833,-28673910644,144036000000,-4713290114,198155000000,5235872386
"Netherlands, The",2016,4,US dollar,-31023993516,-42689550234,-68588553516,-4916753789,-15011366133,-70131445.31,-10094612344,2086680234,10522953633,49170774727,-4418281055,51257454961,-4488412500
"Netherlands, The",2017,1,US dollar,40767879794,35109548945,71291348391,4662745726,19533699554,-11455085298,14870953828,10623478902,-29704639763,109839000000,1284145089,120463000000,-10170940209
"Netherlands, The",2017,2,US dollar,8937177402,-1858192268,-6054003634,14043348681,-18945625790,4732548990,-32988974471,6440851490,36044080619,32739892945,12365905839,39180744435,17098454829
"Netherlands, The",2017,3,US dollar,-21617479969,-20779984685,-27887535831,7071138308,6315865562,11302075215,-755272746.2,-6966598223,16779270885,94195314669,11793061231,87228716446,23095136446
"Netherlands, The",2017,4,US dollar,-4537644543,-32666566643,-26002563500,11085086500,-8081575543,9381409371,-19166662043,1383428214,26069674486,-35631223871,8606689571,-34247795657,17988098943
"Netherlands, The",2018,1,US dollar,-7732987071,33520673571,53392151714,-6371017643,35669340143,-172090000,42040357786,41697407000,-16089185786,-433912642.9,19752244357,41263494357,19580154357
"Netherlands, The",2018,2,US dollar,25449045081,-15134312029,-7028602319,-556426052.4,2186385024,-18904187895,2742811076,5619069086,-22120020690,77143050881,-1029447771,82762119967,-19933635667
"Netherlands, The",2018,3,US dollar,-4163187508,2203698415,-159317510.8,-45107787775,-10019559655,832637501.5,35088228120,-31648365369,27028157557,-131413000000,16175960400,-163061000000,17008597902
"Netherlands, The",2018,4,US dollar,-41636445175,-75746416325,-69225526713,634625350,-20600212800,14186615963,-21234838150,401777200,33832607913,-230331000000,-954220850,-229930000000,13232395113
"Netherlands, The",2019,1,US dollar,13583826286,3692392914,22773352914,-4898582171,23775103314,-5162081143,28673685486,24506540114,-10234436343,22940311314,18702748114,47446851429,13540666971
"Netherlands, The",2019,2,US dollar,32047924000,-13242804500,15377834500,-7450131000,-17324082900,12942776600,-9873951900,-41324067500,30757916400,-30875904900,491056900,-72199972400,13433833500
"Netherlands, The",2019,3,US dollar,8424075806,130097263.6,38710051615,26609894155,58276902455,19248835306,31667008300,20721047076,-12571621048,44414316252,26456446100,65135363327,45705281406
"Netherlands, The",2019,4,US dollar,-5607493156,-15874796519,-62156266194,1565448238,-23284658650,1069464638,-24850106887,2140036381,18498638331,-164264000000,-5855484956,-162124000000,-4786020319
"Netherlands, The",2020,1,US dollar,51766623033,37836707409,107622000000,-14429421028,35329256437,-3105093200,49758677466,12855923870,-28031846353,-59473120325,10402503284,-46617196455,7297410084
"Netherlands, The",2020,2,US dollar,-18657934581,-27592596052,-26113398523,1029821065,58977356729,16988192619,57947535665,57759194058,-44864953200,-46055580548,-2875789090,11703613510,14112403529
"Netherlands, The",2020,3,US dollar,4652264212,-12992441386,1124492003,17604962638,31781510468,23842269632,14176547830,18267734952,-7684418324,22831161958,254822512.1,41098896909,24097092144
"Netherlands, The",2020,4,US dollar,-42834597957,-31639245895,-101946000000,-87439457231,-203999000000,12614901231,-116559000000,-110097000000,200902000000,-138189000000,-15711665637,-248286000000,-3096764406
"Netherlands, The",2021,1,US dollar,74040295886,76929520476,57385687248,28510309210,66777474438,-43076916924,38267165229,60917095619,-107281000000,32535705105,2573554514,93452800724,-40503362410
"Netherlands, The",2021,2,US dollar,-28119086600,-14373665778,14509926200,21130012200,21978926689,-8333590956,848914488.9,20367918511,378635155.6,11946300911,30691152800,32314219422,22357561844
"Netherlands, The",2021,3,US dollar,53981897815,52996422282,46410475147,63748243262,60440534714,-16681177359,-3307708548,85033807503,-60888478138,-65383236761,16233233935,19650570742,-447943424.2
"Netherlands, The",2021,4,US dollar,-25959178223,-75533306865,-48334546721,12348934656,-11215700630,-8361460339,-23564635286,18035688248,17064834880,-94801715880,14210594589,-76766027632,5849134250
"Netherlands, The",2022,1,US dollar,31388093866,89636041775,164252000000,606831246.9,59237273528,-49512269997,58630442281,40405314556,-123044000000,22629982266,-14294745675,63035296822,-63807015672
"Netherlands, The",2022,2,US dollar,28677476533,8567257710,65467604210,-254451919,-7557967252,-57711611614,-7303515333,99983634400,-73061769643,79804213171,-22908125281,179788000000,-80619736895
"Netherlands, The",2022,3,US dollar,30350799627,66354676097,63784912630,-1754125376,-7090009627,-28876609300,-5335884252,11347439070,-26186010561,-45868062567,-4399410888,-34520623497,-33276020188
"Netherlands, The",2022,4,US dollar,-46757107569,-69118714419,-42108644662,-180631818.7,32504542706,6688479887,32685174525,6779306056,-1571598875,-41108536287,24244463944,-34329230231,30932943831
"Netherlands, The",2023,1,US dollar,19950403418,54152474572,115635000000,1255417200,39455509283,-1409930086,38200092083,3366020305,-31388649018,-604102464.6,9476790351,2761917840,8066860265
"Netherlands, The",2023,2,US dollar,7260400466,-28305654.84,-14527333006,-8432907784,-2137076940,1260690319,6295830844,-14628580156,14084240640,30024679031,10686473381,15396098874,11947163700
"Netherlands, The",2023,3,US dollar,12348334346,19229442300,53297566146,-6661243385,-8250363538,-13397589023,-1589120154,-13535820708,1067758131,-21512986192,6214983615,-35048806900,-7182605408
"Netherlands, The",2023,4,US dollar,11425121437,-56980468254,-120090000000,-7038700484,-44871581198,43021328635,-37832880714,6774225103,100789000000,-351310000000,12895862579,-344536000000,55917191214
"Netherlands, The",2024,1,US dollar,27055647981,44395671187,66927929270,-5990288543,43970042565,-22168519337,49960331108,39265326187,-26823289498,-3150954749,39315272403,36114371438,17146753067
"Netherlands, The",2024,2,US dollar,-13423436578,-29085368756,-48385529232,-9315759467,-28723591689,-15632860806,-19407832222,-11350755467,27877291765,-10620741029,14786560883,-21971496495,-846299923.8
"Netherlands, The",2024,3,US dollar,37918180127,38568400636,80465886345,-4823933236,24307483255,599696618.2,29131416491,-10775867255,5241304509,18149060291,28949091145,7373193036,29548787764
"Netherlands, The",2024,4,US dollar,-40128857738,-48189023313,-97244306138,513774137.5,-33051378663,8428673013,-33565152800,-6009341575,57441230338,-21435383350,15961178663,-27444724925,24389851675
"Netherlands, The",2025,1,US dollar,68320099921,88204088214,141549000000,8661820992,46491384960,-16012424762,37829563968,31627064524,-53219002698,19330456786,9284807024,50957521310,-6727617738
Germany,1999,1,US dollar,28580975229,54103308300,43435634829,-16251069386,25216132371,25996775914,41468323371,13498627929,41961833657,19024821514,41182311729,32523449443,67179087643
Germany,1999,2,US dollar,-249431304.6,15222707968,-8884404858,20020032932,50653579258,9446682206,30634603238,28012403803,-12667094008,19601495658,28539803045,47614956374,37986485251
Germany,1999,3,US dollar,17611725733,17649474133,32328358900,11707246833,58945175167,20703948833,47237928333,1787806167,-17691416800,1642055400,20548760967,3430910133,41253758367
Germany,1999,4,US dollar,350842440,16528000509,5406917958,13248973089,43042554614,31407664348,29793581525,10065441245,766040593.8,45767292498,12401968855,55832733743,43808595208
Germany,2000,1,US dollar,21996900009,77126760129,30596791228,-88377248698,-83658060858,60201211434,4719187840,-128256000000,172305000000,168916000000,28445338745,40661564123,88646550178
Germany,2000,2,US dollar,8033904915,6425070895,15918498087,41845548876,79124958044,23911342273,37279409168,-1979313779,-47046263487,45687526635,8167352284,43708212856,32078694556
Germany,2000,3,US dollar,28448929131,3051558854,24752840492,8044854208,25589280831,32517070777,17544426623,-31076836385,23639397185,47267026269,16710702000,16189284646,49227772777
Germany,2000,4,US dollar,33868971714,23315634222,8239313762,10532498254,19833744857,11177646333,9301246603,11476342079,2067426079,-13863303143,10722656302,-2386961063,21901170937
Germany,2001,1,US dollar,64907597731,121100000000,75718452700,-844742296.9,4971516141,10695453016,5816258438,9113061434,37427161438,25315495653,31703224563,34428557088,42398677578
Germany,2001,2,US dollar,8610005077,-21601794255,-8470402239,60797908776,72428570276,15186171298,11630661500,20826998500,-31987372937,12534589881,25254153523,33361588381,40440324821
Germany,2001,3,US dollar,30413430018,-6808790843,41261379342,12947207797,35361554954,-3756942646,22415237428,-12626710320,-32943579545,13351390726,6175808326,723790135.4,2417975409
Germany,2001,4,US dollar,10703070775,-39802128432,-3138265416,3990246692,25614982806,5526679803,21625631994,-4018914832,831376050.8,5747066127,20919679054,1728151295,26446358857
Germany,2002,1,US dollar,1811925532,12191707935,21523080597,5267470016,25557178952,10071220339,20288832339,-10862787226,1092239581,10202709855,16577321597,-660077371,26648541935
Germany,2002,2,US dollar,49149383587,5083817008,53189423960,7549004254,50386111889,1001511032,42837107635,-14581633095,-33798700278,21750246921,15585900579,7169532643,16588330429
Germany,2002,3,US dollar,45979562067,27977893091,65624096073,88537636.36,41389377497,-5070255309,41300839861,9287598055,-35697391230,7898540915,10761257824,17187122721,5691002515
Germany,2002,4,US dollar,30837328662,-19415614650,19499561100,918414137.5,4086393262,4419180975,3167979125,-17910574725,4877888362,11416717200,4545100650,-6493857525,8964281625
Germany,2003,1,US dollar,79902643157,44373187100,98021506757,-5237987043,38928084405,-14101034571,44166071448,-3011225495,-36044562343,33401423214,16984556633,30390197719,2883522062
