COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities_PGDP",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options_PGDP,"Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items_PGDP",CS1_GROUP,CS2_GROUP,CS3_GROUP
Portugal,1999,1,"US dollar, Nominal (Current Prices), % of GDP",127597000000,-6.054749876564496,0.10548344732242922,-4.138467249229998,-1.940895430770316,0.04219337893524142,4.198241203163084,1.9830888096115111,-6.184846129611198,17.01448005517371,0.9493510258078168,12.858432229597874,-5.235495100981998,17.06018954677618,-17.87241209208927,0.02109668946538179,-7.011133132328546,Eurozone,NA,NA
Portugal,1999,2,"US dollar, Nominal (Current Prices), % of GDP",127597000000,-3.936179759712219,9.147973328526533,0.11596489187049852,-0.9442855480928236,7.650369579222083,2.425322881258964,8.594655128255367,3.6081647781687662,-6.633191814854582,-0.417473610821571,-1.408145115637515,3.1906911667202205,1.0171777659349357,-4.850645762710807,-0.20542352273775277,-8.077783039268404,Eurozone,NA,NA
Portugal,1999,3,"US dollar, Nominal (Current Prices), % of GDP",127597000000,7.179070354318676,14.982693533547026,7.2513869981269155,3.017576275304278,14.384437668597224,0.8086315508985321,11.366861393292943,6.955546186822574,-11.67585068614466,-0.27940521068677165,1.899955432494494,6.672853853930735,2.7085869833930265,-1.0288685993140183,-0.0887522433913051,-5.841212463198116,Eurozone,NA,NA
Portugal,1999,4,"US dollar, Nominal (Current Prices), % of GDP",127597000000,-0.2733343646323973,-2.290802294097823,-1.0412737700729642,2.521834911792597,8.80201733583078,-0.8200030938031458,6.28018242435167,1.604212401858978,-8.479873263477982,2.0695316178280057,1.1421471664694312,3.6704900397344766,0.3221440726662852,-0.01626990265625994,-0.34492193631271084,-7.227090759910666,Eurozone,NA,NA
Portugal,2000,1,"US dollar, Nominal (Current Prices), % of GDP",118658000000,11.967981442464898,15.692388005865595,15.336574164405263,1.2071067697079,9.567069355627096,0.6185175182457145,8.359962588278918,4.482589327310422,-6.750486895110316,9.50388745807278,2.194739581317737,13.986476785383203,2.8165824625393987,-10.960396454192102,-0.5520102583118597,-13.7670028277777,Eurozone,NA,NA
Portugal,2000,2,"US dollar, Nominal (Current Prices), % of GDP",118658000000,-3.0860712895885656,17.343028562760203,3.611426951406563,-2.5359005140462583,-3.026300286200678,-0.1510004300763539,-0.4121053403900285,-1.865484479765376,5.319619319388495,6.54964365487367,2.4443194619831785,4.684159173422778,2.2933190318394043,-16.125587595470044,-0.11325032255890004,-12.784703079982492,Eurozone,NA,NA
Portugal,2000,3,"US dollar, Nominal (Current Prices), % of GDP",118658000000,-3.094310708085422,9.115094759729644,-1.3335441612027843,-0.1159603618466517,-1.2145322108918066,1.718044308179811,-1.0985718491799965,-2.6152113182423435,6.048248347351211,3.814485587149623,3.115671827268284,1.1992742685701765,4.833716135448094,-8.37966193728102,-0.5614922783902796,-5.495910833591815,Eurozone,NA,NA
Portugal,2000,4,"US dollar, Nominal (Current Prices), % of GDP",118658000000,18.472758067724047,19.295265596925617,17.275585187682246,2.9212189118306395,15.97596474911089,1.331818241332232,13.05181876653913,5.014076148258019,-5.634615638220769,4.715514696017125,9.009530873603127,9.729590844275144,10.341349114261154,-7.8884618914116436,0.13757243372777267,-8.383137238220014,Eurozone,NA,NA
Portugal,2001,1,"US dollar, Nominal (Current Prices), % of GDP",121605000000,-6.635339471238848,16.53520522346943,10.05170418650549,2.204694030015213,13.18868618560092,1.3331414313556187,10.98399215821718,3.446732400805888,-6.929906026890342,3.182533530693639,4.925638728670696,6.629265931499527,6.25878015871058,-5.0683668537478,-0.41907407178981193,-8.967577782574745,Eurozone,NA,NA
Portugal,2001,2,"US dollar, Nominal (Current Prices), % of GDP",121605000000,5.923692673820978,8.940069128736482,4.023748609021011,1.8712440037827391,8.5124382155339,-0.12054025791702642,6.64119421076436,-0.6830614616175321,-1.7937538380823157,10.799833108835983,6.839224633855516,10.116771645902718,6.718684376464784,-9.074959417787266,-0.20377043600977093,-11.749805141183137,Eurozone,NA,NA
