"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","SCALE","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4","2021-Q1","2021-Q2","2021-Q3","2021-Q4","2022-Q1","2022-Q2","2022-Q3","2022-Q4","2023-Q1","2023-Q2","2023-Q3","2023-Q4","2024-Q1","2024-Q2","2024-Q3","2024-Q4","2025-Q1"
"IMF.STA:BOP(21.0.0)","LVA.A_NFA_T.O_FL1_S122.USD.Q","OBS_VALUE","Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","Millions","-95.5","73.5","126.0","171.3","91.74006461538379","121.3157903225844","51.59859230769465","36.46866666666712","-195.7217125000004","90.741845161292","8.012436923077209","174.6964761904832","97.30224193547879","45.0220555555575","-11.80501818181801","257.8355249999998","3.2194142857143","135.3315983870915","191.2093030303021","256.8209625","348.6732750000001","167.440503174598","654.9855030303142","354.2663090909124","-104.90374193548","-197.7212107692357","-241.5443999999976","382.6612781249998","-266.9109415384531","439.1269983870981","124.8810984615362","384.0307079365228","638.2553515624998","103.8066806451598","1344.978816923047","1757.161276562499","-1358.326125806496","792.0417374999995","-734.4510909090778","162.1080421875001","-912.00222222221","417.1357451612843","151.612281818177","628.1258076923177","-565.6093460317315","-230.0058936507949","50.35053636363663","1595.966893939397","-523.9398109374997","306.5201857142847","-330.5725090909021","1036.7309546875","82.58185384615533","121.7349919354804","-170.0332676923057","697.6212374999998","-114.8947258064548","740.6333999999737","-407.8470666666707","-72.13192343749994","1577.815771428519","1347.764346774231","454.6667681818216","-337.4472656250001","-902.0404285714624","-582.4777999999812","356.83965","-2335.117280000068","744.9498193548058","221.3301353846182","-1456.083939393955","-586.94625","474.8994276922974","160.9110741935497","-720.0345153846204","-1172.676171428558","-304.8451428571466","-857.8731428571595","-102.335335384612","-186.0502375","471.3451428571308","-434.8719000000001","-259.0825848484791","-236.9207375","50.72240312499998","298.4828967741918","-16.3647484848484","-416.3215630769365","233.7404380952345","-412.3987999999848","36.54275303030352","-522.5912712121406","843.50665","436.5074761904841","-366.5336606060585","1544.044868749999","374.4791476923237","-48.99055645161451","102.313215384619","-870.8335714285917","1246.483822222221","619.1125396825622","-128.5064181818234","-1292.446375","1379.619404761944"
"IMF.STA:BOP(21.0.0)","LVA.L_NIL_T.O_FL1_S122.USD.Q","OBS_VALUE","Latvia, Republic of","Liabilities, Net incurrence of liabilities","Other investment, Debt instruments, Deposit taking corporations, except the Central Bank","US dollar","Quarterly","Millions","-78.6","85.0","131.7","215.9","141.0626799999987","75.58906935484102","107.7233769230818","247.4659523809555","-94.16799375000016","230.344683870972","54.30651692307898","227.5533587301679","149.8980483870889","65.23603968254247","171.1727636363611","438.7201374999997","-8.5851047619048","338.8976161290189","603.9964454545424","435.1688531249999","471.1463250000002","203.578741269835","1136.448727272747","612.5043878787936","399.9455161290176","234.2429630769289","722.1933575757504","1120.6508859375","574.7001353845973","1201.622588709681","1601.791232307663","1737.159041269909","2151.982109374999","1234.895058064499","2685.836146153787","2367.025165624999","-649.959800000021","1998.069787499999","514.7177727272635","-1078.084378125","-2453.285977777746","-971.9535499999861","-306.085172727263","-433.0373215384685","-1474.179860317422","-542.6105888888919","-277.5734696969711","1359.627966666669","-1016.415873437499","-86.343714285714","-155.39733333333","-544.6544937500001","525.6400538461631","-288.3197177419274","-157.5308215384597","232.1081812499999","-1.320629032258101","338.3140222222102","-217.1653212121234","-24.49763437499996","-369.800571428559","-411.32177419356","281.0185272727294","1301.0466796875","-297.3017142857255","156.9484774193498","-381.29595","54.76353846154002","-549.8963903225563","-900.0006015384733","-922.3353787878884","-1194.3924609375","-41.5270799999991","318.5157564516156","-1561.053623076934","885.3940571428467","-2907.091785714321","-1551.32060000003","-73.26279692307453","265.9491125","-693.9563428571252","-133.7203","-334.6946696969623","-247.9918","-638.4406828124997","176.226064516128","11.689106060606","-318.5038892307795","87.95387619047484","-517.3072666666476","-240.4748909090941","29.7316696969708","106.560015625","344.9473714285777","7.048724242424202","-303.0940687499999","173.8269969230844","173.0999661290379","279.7286846153946","49.45474603174718","481.0037746031739","-303.6343238095348","157.0634000000064","-191.1966125","397.7850000000113"
"IMF.STA:BOP(21.0.0)","LVA.A_NFA_T.D_F.USD.Q","OBS_VALUE","Latvia, Republic of","Assets, Net acquisition of financial assets","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","-3.9","11.6","-8.1","17.9","5.918713846153792","0.9331983870968029","1.810476923077005","-1.736603174603196","14.77145000000003","15.705319354839","-8.012436923077226","61.81567619047868","-47.33622580644913","-6.431722222222497","-2.951254545454502","9.993624999999993","4.2925523809524","39.80341129032101","17.99616969696961","23.77971875","38.74147500000001","50.59353333333177","-14.6638545454548","10.3814303030304","41.96149677419201","31.48426923077001","98.81361818181719","53.47750781249998","-3.606904615384502","65.42866451612923","121.0582076923055","29.63995396825512","127.1268359374999","308.7237645161246","206.0743846153801","127.4774874999999","91.3537967741965","221.8341749999999","132.4419999999976","-102.800221875","-35.1772285714281","-175.8513435483846","55.7818772727255","-38.42652000000062","129.9933460317427","-41.93477619047642","55.51469393939423","-40.74809090909099","15.04787968749999","44.6109190476189","80.52407272727102","-32.35571250000001","60.2978615384626","88.41804677419107","80.01565538461443","-67.42807499999998","180.9261774193598","147.6041873015821","75.47819090909164","89.82465937499994","435.5428952380806","-6.855362903226001","161.7182090909103","103.7337890625","132.8848571428621","-22.105419354838","102.2718","-69.00205846154043","22.03993548386999","145.6713646153865","94.91344696969796","-17.263125","117.127661538459","90.37471290322658","18.79372307692321","350.8609428571387","44.25171428571482","-212.0853047619089","-136.0594799999955","-10.2727125","11.357714285714","19.1029","1.1119424242424","57.56952499999999","67.26231718749997","-4.405651612903201","57.2766196969694","77.53840000000251","107.2314380952364","-176.0532888888824","141.4558181818201","2601.521098484944","-564.207240625","93.68940952381121","185.2807515151504","117.3596562499999","-13.9490800000006","327.6923887096881","340.6812384615506","365.5350793650879","-509.2342444444437","62.44961269841497","406.3878181818348","262.761825","-367.2671031746136"
"IMF.STA:BOP(21.0.0)","LVA.L_NIL_T.D_F.USD.Q","OBS_VALUE","Latvia, Republic of","Liabilities, Net incurrence of liabilities","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","58.7","93.6","30.1","165.7","86.80780307692228","69.05668064516341","60.65097692307967","107.6693968253982","21.23395937500004","84.63422096774349","72.11193230769504","-4.479396825397006","-17.53193548387005","80.85593650793996","73.78136363636256","22.98533749999998","95.50929047619088","121.6847145161242","28.11901515151501","71.33915624999999","131.221125","157.8036396825348","101.4249939393957","201.140212121214","270.1271354838611","138.5307846153881","257.4033757575732","143.7950765624999","388.3433969230647","456.7424080645175","365.7232169230702","494.8583619047811","526.8555468749998","1104.125603225791","659.4380307692163","422.9934812499998","636.4813709677625","637.3826999999995","474.0821590909006","-313.6724718750001","24.7543460317457","-308.0806483870924","124.4364954545415","8.867658461538603","30.42397460317382","77.51579841269884","202.6931848484859","164.3506333333337","392.6128609374997","389.9857761904749","490.2079515151411","246.7123078125001","351.3005846153908","148.6448322580603","351.3187369230727","229.5147937499999","274.6908387096849","245.5715682539595","116.5277333333345","352.4937390624998","384.8665206349077","163.1576370967788","234.6239590909109","262.4589843750001","296.1755714285826","139.2641419354794","340.1649","37.23920615384722","-59.50782580644897","-20.32623692307719","283.6237121212151","131.631328125","176.7562892307654","163.1153354838724","480.4145461538494","369.6991142857099","138.901214285716","-209.7023238095279","46.51606153846002","463.4134750000001","206.7103999999947","108.9989","425.8739484848391","374.2019124999999","228.2508140624999","115.648354838709","338.984075757574","256.4731692307775","622.9062190476095","610.1572888888664","577.6112575757653","1923.410324242495","103.1949625","433.3135190476269","592.092836363633","88.78513124999996","277.9085938461657","513.8565032258233","756.4647307692577","140.8385158730192","136.8091999999998","160.4309015873074","426.1580363636538","563.9766000000001","-771.3661507936727"
"IMF.STA:BOP(21.0.0)","LVA.A_NFA_T.O_FL1.USD.Q","OBS_VALUE","Latvia, Republic of","Assets, Net acquisition of financial assets","Other investment, Debt instruments","US dollar","Quarterly","Millions","-118.9","77.6","97.2","158.2","95.68587384615297","123.182187096778","47.97763846154064","48.6248888888895","-152.3305781250003","70.67393709677549","-11.57352000000044","150.5077333333394","132.3661129032189","22.97043650793749","9.837515151515008","223.8571999999998","42.925523809524","154.6646838709616","183.3359787878779","254.442990625","423.6567750000001","168.6451111111059","689.2011636363754","380.2198848484884","55.07446451612701","-115.8621107692336","-120.7721999999988","563.2964156249998","38.47364923076802","819.1165500000025","411.5979061538386","681.7189412698677","1495.378554687499","718.5579322580542","1685.688466153809","2113.518798437499","-938.9972225806755","1366.935937499999","-281.439249999995","333.4417453125001","-557.6242158730084","969.2271725806313","247.4426863636285","421.2137769230837","-619.5427555555397","-36.85177301587322","-19.36559090909101","1462.856463636367","-722.2982249999995","310.8373714285704","-213.318157575753","1003.0270875","242.5022692307735","57.66394354838548","-103.7703030769218","276.1957687499999","-287.8971290322659","822.9259999999707","-495.2428666666715","-54.43918749999996","-182.1610222222161","2341.791967742002","572.6415272727317","-271.2076171875001","-1299.568857142906","-435.4767612903086","603.62595","-1651.668320000047","1021.551009677374","852.5727153846266","-544.9148484848542","-843.7352343750001","504.7137415384506","786.921280645168","-615.494430769235","-536.8878857142794","-1028.85235714287","316.9364666666728","718.6731507692073","-616.3627500000001","1022.19428571426","-1294.5024","493.7024363636254","-162.74461875","-462.0149328124999","318.3083290322563","156.6340212121204","-71.57390769231","-137.3526285714265","-397.928666666652","708.4578893939489","219.5569454545536","872.67044375","639.8560809523925","363.5127787878767","1204.212124999999","-180.2650338461615","293.943338709687","447.3482076923236","-284.9023412698479","2069.510596825394","1511.711314285769","-39.54043636363798","-2164.046575","1637.443015873062"
"IMF.STA:BOP(21.0.0)","LVA.NNAFANIL_T.D_F.USD.Q","OBS_VALUE","Latvia, Republic of","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Direct investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","-62.6","-82.0","-38.2","-147.8","-80.88908923076849","-68.12348225806662","-58.84050000000267","-109.4060000000014","-6.462509375000011","-68.9289016129045","-80.12436923077227","66.29507301587569","-29.80429032257908","-87.28765873016246","-76.73261818181706","-12.99171249999999","-91.21673809523848","-81.88130322580322","-10.1228454545454","-47.55943749999999","-92.47965000000003","-107.210106349203","-116.0888484848505","-190.7587818181836","-228.1656387096691","-107.046515384618","-158.589757575756","-90.31756874999996","-391.9503015384492","-391.3137435483883","-244.6650092307647","-465.2184079365259","-399.7287109374998","-795.401838709666","-453.3636461538362","-295.5159937499999","-545.127574193566","-415.5485249999998","-341.640159090903","210.87225","-59.9315746031738","132.2293048387078","-68.65461818181599","-47.29417846153922","99.56937142856887","-119.4505746031753","-147.1784909090917","-205.0987242424246","-377.5649812499998","-345.374857142856","-409.6838787878701","-279.0680203125001","-291.0027230769282","-60.22678548386928","-271.3030815384583","-296.9428687499999","-92.44403225806704","-97.96738095237747","-41.04954242424282","-262.6690796874998","50.6763746031729","-168.6419274193596","-72.90575000000055","-158.7251953125","-163.2907142857204","-161.3695612903174","-237.8931","-107.3365353846185","81.54776129031897","165.9976015384637","-188.7102651515171","-148.894453125","-59.6286276923064","-72.74062258064578","-461.6208230769262","-20.01555714285691","-93.42028571428683","-2.382980952380999","-182.5755415384556","-472.5447750000001","-195.3526857142807","-89.89600000000002","-424.7620060605967","-317.7394937499999","-160.988496875","-121.155419354838","-281.7074560606046","-177.7418707692365","-515.674780952373","-785.0047333333044","-434.9766409090967","678.1107742424493","-667.402203125","-338.5594571428632","-407.8190454545431","28.57452499999999","-292.9306800000125","-186.1641145161351","-415.7834923077071","224.6965634920687","-644.9576571428562","-96.90457142857495","-19.77021818181899","-301.214775","404.0990476190591"
"IMF.STA:BOP(21.0.0)","LVA.A_NFA_T.P_F3.USD.Q","OBS_VALUE","Latvia, Republic of","Assets, Net acquisition of financial assets","Portfolio investment, Debt securities","US dollar","Quarterly","Millions","20.1","-18.0","92.9","-75.8","103.5774923076914","1.866396774193606","44.35668461538663","103.3278888888902","72.01081875000013","141.347874193551","-27.59839384615489","-135.2777841269896","21.91491935483756","85.45002380952747","21.64253333333302","53.96557499999996","64.38828571428598","52.31305483870761","164.2150484848477","-13.0788453125","-64.98570000000002","36.13823809523698","180.8542060606092","-162.20984848485","81.30039999999703","-12.593707692308","313.5197515151484","-187.7654718749999","199.5820553846091","89.33529193548414","43.32609538461459","-158.5093190476252","197.8984765624999","221.0947483870936","119.5231430769204","-98.50533124999995","59.90412903226","209.3364749999999","124.9168863636341","-200.3286375","-106.8345460317446","-70.88581290322479","-35.7576136363625","-109.3677876923094","-98.18646349206097","-85.14030317460364","114.9025060606067","84.21272121212138","433.6525328124997","8.634371428571399","264.1754666666611","-84.93374531250002","634.4383692307804","212.7158806451553","-47.50929538461482","-15.560325","120.1772419354871","-64.00535555555328","291.3193333333362","168.7614812499999","573.8757015872823","848.693927419379","383.0865772727302","258.7095703125001","1219.61271428576","505.1088322580483","64.4757","1155.510661538495","1355.456032258004","337.6413800000044","163.0278030303047","271.89421875","61.7582215384602","-198.383516129034","1132.321815384623","1070.243614285702","-1618.875214285734","-439.6599857142942","260.4899446153761","292.2016000000001","186.2665142857095","-171.9261","-255.7467575757519","302.2400062499999","-333.0036031249999","2147.75516129031","896.5544348484804","362.641132307704","320.4894666666617","308.6961777777664","35.36395454545502","-813.0468136363936","461.012278125","443.9600428571509","35.24362121212101","306.1556249999999","419.5454061538641","-357.0867225806568","-140.4085615384665","-178.4671269841311","-635.1855714285705","-15.07404444444499","-216.3740545454634","-292.669675","646.137539682558"
"IMF.STA:BOP(21.0.0)","LVA.A_NFA_T.P_F.USD.Q","OBS_VALUE","Latvia, Republic of","Assets, Net acquisition of financial assets","Portfolio investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","-24.3","22.9","26.4","-82.9","106.5368492307683","-0.9331983870968029","50.69335384615614","122.4305238095254","59.0858000000001","177.1211016129065","-18.69568615384686","-173.8005968254038","37.6936612903206","84.53120634920997","20.65878181818152","39.97449999999997","63.31514761904789","53.45029516128821","160.8407666666659","-15.4568171875","-59.98680000000002","37.34284603174488","186.9641454545487","-147.9353818181832","98.34725806451253","-5.037483076923202","339.1380969696936","-165.1860796874999","226.0326892307621","100.6594838709681","61.16625230769119","-139.1789142857197","217.5572656249999","291.1979612903184","164.8595076923041","-63.73874374999997","-70.3873516129055","179.6544374999999","-10.5351590909089","-336.0776484375001","-67.7487365079356","-109.055096774192","37.187918181817","-17.73531692307721","-12.44617142857111","-8.895255555555606","144.5964121212129","187.4412181818186","528.0437781249997","61.87966190476169","340.4614303030231","-53.92618750000001","689.4929384615506","237.0628790322514","-33.75660461538421","55.75783124999998","83.19962903226033","-3.918695238095099","368.1217030303066","176.9273593749999","619.0735492063284","917.247556451639","462.6201227272762","241.2123046875001","1307.451857142906","542.688045161273","46.6893","1151.129578461571","1407.249880645099","245.0440784615417","264.6410227272755","390.578203125","218.2833692307645","-121.234370967743","1270.925523076932","1312.785071428556","-1574.623500000019","-310.9790142857203","410.5042430769096","490.8073750000001","327.1021714285631","21.3503","-132.3211484848456","336.5602999999999","-59.54369062499998","2233.665367741923","1221.511583333327","584.520246153865","608.4480476190382","819.974222222192","409.0430742424297","-1276.174745454593","668.5238875","638.7914285714401","75.52204545454501","462.2949937499998","616.9785384615648","-252.5735354838792","180.680784615391","-40.85392063492159","-406.0844507936502","216.4202095238174","124.1130363636414","11.7495125","1048.131904761935"
"IMF.STA:BOP(21.0.0)","LVA.L_NIL_T.P_F.USD.Q","OBS_VALUE","Latvia, Republic of","Liabilities, Net incurrence of liabilities","Portfolio investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","-1.4","153.0","-15.9","79.7","28.60711692307666","-12.13157903225844","14.48381538461604","-7.814714285714384","32.31254687500006","4.3625887096775","-7.122166153846424","120.0478349206397","4.382983870967512","-3.675269841269998","-1.967503030303002","17.98852499999999","12.8776571428572","13.6468838709672","17.99616969696961","20.2127609375","24.99450000000001","210.8063888888824","-12.219878787879","14.2744666666668","18.358154838709","95.71217846154084","30.49803030303","-8.318723437499997","32.46214153846052","235.2915435483878","3.822890769230699","20.61909841269921","60.28695312499997","-79.5401838709666","-9.616804615384403","-21.72911718749999","573.5820354838895","-182.7788624999999","31.60547727272671","-299.1750046875001","-7.8171619047618","-32.7165290322576","-20.024263636363","72.41921076923192","1.382907936507901","20.33201269841281","19.36559090909101","-62.48040606060618","-162.7906984374999","389.9857761904749","-24.01595151515101","35.05202187500001","938.5493230769397","-46.13115483870838","61.26198615384542","1287.61689375","84.52025806451844","82.29259999999707","162.8739909090925","34.02449218749998","1350.456901587256","836.3542741935721","-31.81341818181842","98.73457031250003","-94.59600000000356","-339.3181870967633","598.0677","-85.43112000000244","-68.32379999999696","633.5010507692391","-15.63280303030319","500.630625","-225.7369476923028","241.3666112903246","14.0952923076924","17.66078571428551","-577.7307142857212","689.8729857142991","453.5315999999852","94.73723750000002","845.0139428571213","318.0071000000001","113.4181272727248","-43.17714374999999","-568.9730437499998","1078.283232258058","-611.3402469696938","-705.0029907692535","163.8592761904737","-733.1534222221952","518.6713333333403","960.5616363636718","-299.489728125","295.9733619047672","13.0904878787878","787.8404749999996","949.6104461538868","-388.6584145161418","880.5467153846467","695.5917539682702","320.3072539682535","1160.701422222264","428.3547272727448","64.08825000000002","-79.97793650793878"
"IMF.STA:BOP(21.0.0)","LVA.NNAFANIL_T.P_F.USD.Q","OBS_VALUE","Latvia, Republic of","Net (net acquisition of financial assets less net incurrence of liabilities), Transactions","Portfolio investment, Total financial assets/liabilities","US dollar","Quarterly","Millions","-22.9","-130.1","42.3","-162.6","77.9297323076916","11.19838064516163","36.2095384615401","130.2452380952397","26.77325312500005","172.758512903229","-11.57352000000044","-293.8484317460436","33.31067741935309","88.20647619047996","22.62628484848452","21.98597499999998","50.43749047619069","39.80341129032101","142.8445969696962","-35.669578125","-84.98130000000003","-173.4635428571375","199.1840242424277","-162.20984848485","79.98910322580352","-100.749661538464","308.6400666666636","-156.8673562499999","193.5705476923016","-134.6320596774198","57.34336153846049","-159.7980126984189","157.2703124999999","370.738145161285","174.4763123076885","-42.00962656249998","-643.969387096795","362.4332999999998","-42.14063636363561","-36.90264375000001","-59.9315746031738","-76.33856774193438","57.21218181818","-90.15452769230914","-13.82907936507901","-29.22726825396842","125.2308212121219","249.9216242424247","690.8344765624995","-328.1061142857132","364.4773818181741","-88.97820937500002","-249.056384615389","283.1940338709598","-95.01859076922965","-1231.8590625","-1.320629032258101","-86.21129523809218","205.2477121212141","142.9028671874999","-731.3833523809278","80.8932822580668","493.1079818181856","142.477734375","1400.921714285767","882.0062322580363","-550.26675","1236.560698461574","1475.573680645096","-388.4569723076974","280.2738257575787","-111.1313671875","445.0851138461442","-362.6009822580676","1256.830230769239","1296.301671428556","-996.8927857142977","-1000.852000000019","-44.19025846153702","394.9287250000001","-519.0475428571297","-295.5331000000001","-245.7392757575703","379.7374437499999","509.4293531249999","1155.382135483864","1832.851830303021","1289.523236923119","444.5887714285646","1554.333488888832","-108.4494606060621","-2236.736381818264","968.013615625","342.8180666666728","62.43155757575721","-325.5454812499998","-331.5589015384757","137.1735580645206","-699.8659307692556","-736.4456746031918","-726.3917047619036","-944.281212698447","-304.2416909091034","-52.33873750000001","1128.109841269873"
