COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",GROUP
Austria,2005,1,% of GDP (annualized),314126000000,92.40349692416419,23.503706657837938,18.597917359276213,21.755455671927827,2.603174103385266,24.35862977531309,91.97770513742893,9.748127271222376,23.184780260150387,1.9569724492719482,25.14175270942233,0.42579178724460887,-0.7831229342365803,Eurozone
Austria,2005,2,% of GDP (annualized),314126000000,2.7454496055722863,13.521980766953387,7.832228897958145,25.079489707951584,0.6254236834900645,25.704913391441654,3.574536899206051,11.838147772549869,13.148330207623694,3.4542631135276927,16.602593321151385,-0.8290872932517526,9.102320070290265,Eurozone
Austria,2005,3,% of GDP (annualized),314126000000,3.53712917746382,1.9774990965408783,4.177136740034254,6.313084311390971,2.275755048611067,8.588839360002037,1.9448773523999923,9.172923932434756,-1.2334126336565583,2.167015899352489,0.9336032655685935,1.5922518250638278,7.6552360937967565,Eurozone
Austria,2005,4,% of GDP (annualized),314126000000,4.825799481736627,-0.7339331291265289,4.515580323819105,-4.406625303222274,1.7357140192152194,-2.6709112840070546,5.768563068322902,2.1427820836224956,-3.926920556719278,0.057504038977989724,-3.8694165182124376,-0.9427635864589369,1.1985052335686954,Eurozone
Austria,2006,1,% of GDP (annualized),333924000000,9.24326646063176,34.61256198895557,29.643838197913297,20.080845163570153,5.747877289443107,25.827282242665994,6.643687781650915,23.675608810387992,17.88020459745331,5.06089721733089,22.9411018147842,2.599578678980846,2.8861804278817935,Eurozone
Austria,2006,2,% of GDP (annualized),333924000000,6.524761707454391,3.4334504893329023,-0.0030144429235394884,17.43704508930176,-0.3798198083396222,17.055718060396977,3.2164105988188934,-4.288045058156946,20.700179554629198,3.128991753812245,23.829171308441442,3.308351108635498,-6.773453248044466,Eurozone
Austria,2006,3,% of GDP (annualized),333924000000,-1.555454013488099,13.722798406823108,10.111214309842959,-5.722666433080581,3.1444899581940797,-2.578176474886501,-2.5705442172470385,6.765232763143709,-3.7474382745774486,1.1570501883063213,-2.5903880859117643,1.015090204717241,0.012211611480456632,Eurozone
Austria,2006,4,% of GDP (annualized),333924000000,5.058694905427583,36.00981875157221,13.317473586804182,-2.099427851846528,1.9234463997795905,-0.17598145230651285,5.2887057510092115,-0.027786545094093267,10.21001162659767,3.065782142044297,13.275793769839844,-0.23001084558162935,-13.45177522190678,Eurozone
Austria,2007,1,% of GDP (annualized),386806000000,18.965930837680904,12.335851256702327,23.5481669508746,15.935501986008491,1.6548093152639824,17.590311301272475,11.414253931945213,1.302433867106508,35.524866309209266,1.962460186243233,37.4873264954525,7.551676906769803,-19.897015194180028,Eurozone
Austria,2007,2,% of GDP (annualized),386806000000,6.891154368856739,31.246498658242118,24.963182303273477,21.189288943811626,2.259874818901465,23.4491637637472,13.557854792324836,14.528165017088671,24.459903580606298,1.002375074119843,25.46227865545002,-6.666700423468096,-2.013114891702817,Eurozone
Austria,2007,3,% of GDP (annualized),386806000000,7.820902380004446,3.193712725242111,-2.8172296861992834,0.6478349655382802,-1.6039598165488642,-0.9561248504935289,5.553480000827288,4.2592307606397,7.049467322637187,-1.3013526935983413,5.748114629038846,2.267422379177159,-6.704239479222142,Eurozone
Austria,2007,4,% of GDP (annualized),386806000000,48.057979693179526,5.078287807324601,16.744867585301158,-21.75574449310507,-1.2987833415200385,-23.05452783462511,40.68921930166544,-0.6606268209903672,-22.895737714513217,2.4118122035335543,-20.483925510979663,7.368760391514092,-2.570602323645445,Eurozone
Austria,2008,1,% of GDP (annualized),429187000000,10.09970660061931,36.33298265884102,29.43235393709502,-2.746852209409884,-1.793549333973303,-4.540401544315182,1.9847682124575068,20.05006707006503,12.069121472924389,-1.9791851794206257,10.08993629257177,8.114938388161804,-14.63033783688695,Eurozone
Austria,2008,2,% of GDP (annualized),429187000000,5.98259608236037,29.38300597361989,25.741615659374585,7.4851609783148145,0.9842382457996166,8.470855198316817,3.3749471209519393,23.914368619739182,8.255371085331102,-0.11356595143841729,8.141805133892685,2.6076489614084304,0.32905006442413215,Eurozone
Austria,2008,3,% of GDP (annualized),429187000000,4.729813937514417,-4.23186496142707,1.9230649194873095,1.192272196501758,-2.526214383939868,-1.3339421874381097,-1.5359271236081242,-1.514887025935082,2.5570731937360636,-1.7547441390349663,0.8023290547010977,6.265741062054536,-2.136271242139207,Eurozone
Austria,2008,4,% of GDP (annualized),429187000000,5.193353205945194,-11.938079425518481,-12.689813616908246,-9.483888388045305,-3.6161853923814093,-13.100073780426714,2.0488441690917942,-40.277967120159744,6.176012279961881,-2.353468482502965,3.8225437983909116,3.1445090368533997,-16.922617578817626,Eurozone
Austria,2009,1,% of GDP (annualized),398857000000,3.7015805454085045,-1.9990886819085538,0.802248660447228,-2.044819468631615,-0.1933758986303362,-2.2381953672619512,0.5997266044722795,8.388332899259634,-1.0988454779532515,-1.043968534086151,-2.142814012039403,3.101853941638231,-0.0953813553930356,Eurozone
Austria,2009,2,% of GDP (annualized),398857000000,-2.8654315055270434,-0.43473626858748876,-3.6638150936300478,-2.559202185244336,3.013077785772846,0.4538756011302296,1.6131723168955292,-8.519737188014751,7.353604995273995,-0.7231933524044958,6.630411643270646,-4.478603823425438,-6.17653604173927,Eurozone
Austria,2009,3,% of GDP (annualized),398857000000,3.748095961209155,1.368420798431518,4.743571888671879,1.526205167265461,2.356724708855555,3.8829298771238814,3.8872330865448017,2.343815078587063,-5.91404502465796,0.5608517110643664,-5.353193313894454,-0.13913712523536004,9.23612319001547,Eurozone
Austria,2009,4,% of GDP (annualized),398857000000,11.018514238436332,-30.132686906836287,-30.850061253030535,1.7252556600485889,1.1738852942282572,2.8991409532739802,8.240911913793665,-15.368707847674731,-6.542335465592932,1.3547110588506657,-5.189106584063962,2.7776023246426664,8.08824753834081,Eurozone
Austria,2010,1,% of GDP (annualized),390146000000,5.343825145458367,14.790868643020818,12.537926707437727,3.8423364668611235,2.9717849574261943,6.814121424287318,5.70537341097948,1.6801360567582393,-4.547001124707161,-0.3828158103889313,-4.929816935198618,-0.36154826531606116,11.743938359485936,Eurozone
Austria,2010,2,% of GDP (annualized),390146000000,1.2442183264726538,7.686793849481989,1.49175914555064,-2.755520168347234,0.27750628636459174,-2.4780138819826427,4.364535490816259,-1.7914138204672099,3.584130487561067,-0.25535789740251086,3.330075437400358,-3.1203171643436045,-5.808089318357744,Eurozone
Austria,2010,3,% of GDP (annualized),390146000000,5.8637581982129765,-19.40334795281766,-23.50268410184905,2.7134772705602517,2.0715082579342092,4.784985527469203,-0.9464079259559243,0.19060523260522982,1.420273712917728,0.14295392442829094,1.5619039897884381,6.810166124476479,3.2230815376807658,Eurozone
Austria,2010,4,% of GDP (annualized),390146000000,-27.141302378084102,-24.57896290311832,-24.07206531093488,-4.8545192456157436,4.58435953924941,-0.2701597055461289,-31.686669795409923,-18.4766957385184,-1.2338221609346245,-0.05709560788012693,-1.2909177682201023,4.545367417325822,1.020758062776499,Eurozone
Austria,2011,1,% of GDP (annualized),428879000000,14.273203996465202,29.092482124795104,20.896266654231148,2.832440589536909,2.2047105127553457,5.037151102292254,11.481591379386726,14.130306092860689,7.204861264832273,1.0219751855418429,8.226836450374114,2.791612617078477,-3.1896853480818597,Eurozone
Austria,2011,2,% of GDP (annualized),428879000000,4.38886719004661,-0.2201144401101476,-3.1379729322256398,-6.21554861021407,0.8066388933009077,-5.40890971672663,6.176625935053943,-7.3979926450117635,-0.1422690893235621,0.23622037469775856,0.09395128537419645,-1.787758745007333,-5.50286100275369,Eurozone
Austria,2011,3,% of GDP (annualized),428879000000,2.2939019872737996,1.5138962569862362,-1.7023098029980483,-1.9131221626612633,-3.5456003721329328,-5.458722534794196,-5.208382857635837,5.828961740724074,6.054267449793532,-0.46773992272878834,5.586527526878211,7.502284844909636,-11.045250061672407,Eurozone
Austria,2011,4,% of GDP (annualized),428879000000,14.620760359915034,0.7204760651838863,-6.0831818559547095,-3.6828523476318495,-1.1341525493204376,-4.817004896952287,8.98646149799827,-4.579360959151649,-2.7611962292394825,-1.0008707640150252,-3.762066993254508,5.634298862849428,-1.0549379036977795,Eurozone
Austria,2012,1,% of GDP (annualized),407008000000,6.6615556755641165,4.14302128213696,1.3616833005739446,-4.325953192074849,2.5327051743454674,-1.7932480177293812,2.8290033385093167,4.096644178984197,-4.099220684605708,-0.26538009454359623,-4.36460077934586,3.8325523370548003,2.5713527616164793,Eurozone
Austria,2012,2,% of GDP (annualized),407008000000,3.5463494034515293,3.5790926861388477,-5.320783462732919,-6.701038769753912,-1.4092205194983882,-8.111518646316535,-2.6169439136331474,-5.372417100400975,-1.2404666768220771,0.08941434931008727,-1.1510523282097649,6.163293317084677,-6.960466319089551,Eurozone
Austria,2012,3,% of GDP (annualized),407008000000,0.5172900612272977,-0.8564160870548,-4.216958408679928,-2.957522986280368,2.3443929613177135,-0.6131300250609325,1.092329844130828,-2.740039991351521,-4.156751252063842,0.5529228682482898,-3.603828383717273,-0.5750397830018082,2.990698358754619,Eurozone
Austria,2012,4,% of GDP (annualized),407008000000,7.401522623633934,-9.644408267159369,-9.135935897083105,-4.599189936315748,0.856374518436984,-3.7428154178787643,3.8243748958251436,-14.191349162670022,1.8478319217312682,0.3402559470084126,2.1868135024372988,3.57714772780879,-5.929628920316063,Eurozone
Austria,2013,1,% of GDP (annualized),426587000000,4.5780724982242775,4.237534240846533,-0.6612633795216452,-0.9497921577544557,2.630193667411337,1.6804015096568814,0.09658903295224655,-0.8519648036156753,1.9565470780872365,0.6637400214258755,2.6215254201370413,4.481483465740869,-0.9411239114178351,Eurozone
Austria,2013,2,% of GDP (annualized),426587000000,-3.444196536697086,6.547892846242384,1.7735407483115986,2.6468380921125116,-0.1665756504534831,2.480262442127866,-3.044904904275095,0.4556333967045409,3.4993134793137157,-0.431136977545026,3.0681765023312946,-0.39929163260952627,-0.5879140602971961,Eurozone
Austria,2013,3,% of GDP (annualized),426587000000,4.514637410891565,-1.8202580978792133,-6.668899211649674,-2.157986748775748,1.1795669797720043,-0.9784197690037436,3.6852155757207794,-4.9529396676410675,3.552359084547818,0.7648560629367515,4.3172151472032665,0.8294218345144133,-5.29563491620701,Eurozone
Austria,2013,4,% of GDP (annualized),426587000000,4.69498064404213,-15.362374829050113,-7.38894752160755,-0.6648776612508117,0.42623635094365275,-0.2386413103071589,-1.9474151842414325,-9.758770586070368,-5.335611327114985,0.7797317678222732,-4.555879559386479,6.642395828283562,4.318514405736696,Eurozone
