Group,Indicator,Count,Mean,Std_Dev,Min,Max,Skewness,Coeff_of_Variation
Austria,"Assets - Direct investment, Total financial assets/liabilities",81,3.727375388602444,13.64049461598673,-27.141302378084102,92.40349692416419,3.4059739194969647,365.954410111109
Austria,"Assets - Other investment, Debt instruments",81,2.973591682018459,13.675670481059857,-30.132686906836287,36.33298265884102,0.34098098417537276,459.90411406373323
Austria,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",81,1.1875641974126736,11.337083360607492,-30.850061253030535,29.643838197913297,0.22740950183546202,954.650147361078
Austria,"Assets - Portfolio investment, Debt securities",81,1.276694791659214,6.858280677218876,-21.75574449310507,25.079489707951584,1.097429339683983,537.1903075053466
Austria,"Assets - Portfolio investment, Equity and investment fund shares",81,1.4517441192782337,1.9309777660825453,-3.6161853923814093,6.5717229619830855,-0.14303353028101898,133.01088948392456
Austria,"Assets - Portfolio investment, Total financial assets/liabilities",81,2.728338347956749,7.524033901022254,-23.05452783462511,25.827282242665994,0.7436919530883468,275.7734907276804
Austria,"Liabilities - Direct investment, Total financial assets/liabilities",81,2.2722350941705067,13.479510589426466,-31.686669795409923,91.97770513742893,3.4352690707250835,593.2269343083641
Austria,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",81,0.07851926444692543,9.706667512797418,-40.277967120159744,23.914368619739182,-0.3457120394515892,12362.147787768154
Austria,"Liabilities - Portfolio investment, Debt securities",81,2.6714810285135093,8.967312744282102,-22.895737714513217,35.524866309209266,0.7460316578390629,335.66821731359175
Austria,"Liabilities - Portfolio investment, Equity and investment fund shares",81,0.398008857500362,1.2625855262005563,-2.353468482502965,5.06089721733089,0.7779007720597181,317.22548441008195
Austria,"Liabilities - Portfolio investment, Total financial assets/liabilities",81,3.069437149011215,9.297025486669781,-20.483925510979663,37.4873264954525,1.0011082943855667,302.8902380250631
Austria,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",81,1.4551402945158283,3.0977744372941345,-6.666700423468096,8.114938388161804,0.1349993401647281,212.88493274285028
Austria,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",81,-0.3410733826867868,7.072447587403677,-19.897015194180028,12.543451751236729,-0.5486883240801305,2073.5853181186
Belgium,"Assets - Direct investment, Total financial assets/liabilities",93,7.044581909536627,15.71722786691359,-27.568997609852698,74.89278971370906,1.4832468841550528,223.11086830627005
Belgium,"Assets - Other investment, Debt instruments",93,5.361607595751194,28.728091787181775,-147.1050957815149,81.02198010879762,-1.1534808593740968,535.8111587641615
Belgium,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",93,3.799146614432929,27.342282988137253,-141.6874326996874,81.31741811840375,-1.1467325121656025,719.6953885449993
Belgium,"Assets - Portfolio investment, Debt securities",93,1.5181614650170097,8.904762157285772,-23.33833843772211,42.31431846391685,1.0969448088125577,586.5490833800081
Belgium,"Assets - Portfolio investment, Equity and investment fund shares",93,2.340120394926009,4.239051438575564,-14.049086292484983,10.91458721519548,-1.0143886788790955,181.14672423551082
Belgium,"Assets - Portfolio investment, Total financial assets/liabilities",93,3.858318665901305,9.4864590437496,-17.01908484255544,48.75327198871222,1.284978755876773,245.87028354055244
Belgium,"Liabilities - Direct investment, Total financial assets/liabilities",93,7.046520912112299,18.27478812727895,-30.067657823307943,77.9297505562848,1.041080073497756,259.3448363413827
Belgium,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",93,2.878102841900518,29.290825498354263,-139.67842774870425,74.67514836847383,-0.9639051080434148,1017.7129556292174
Belgium,"Liabilities - Portfolio investment, Debt securities",93,3.7551548432961797,9.427594496316393,-20.64933076669602,25.233027465695745,-0.15516034635080048,251.0574101397398
Belgium,"Liabilities - Portfolio investment, Equity and investment fund shares",93,0.606702512950599,1.922098345915489,-5.726555098167001,7.025052724780628,-0.014154347967630421,316.8106781967453
Belgium,"Liabilities - Portfolio investment, Total financial assets/liabilities",93,4.3618917856656845,9.388565892470652,-16.52286719588514,25.339306596654616,-0.18788650712408014,215.24068807309553
Belgium,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",93,-0.001940384732169251,8.840055390382549,-33.26110890220419,15.963875369940553,-0.7658481170674342,455582.6091509089
Belgium,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",93,-0.503573119759221,12.005184961710748,-29.95779203150788,31.372423737131633,0.31037871980547416,2384.0003547947354
Finland,"Assets - Direct investment, Total financial assets/liabilities",105,4.054989835659962,8.370021551153167,-15.827876655371515,46.15873573871436,1.4760785898882833,206.41288610754117
Finland,"Assets - Other investment, Debt instruments",105,3.378794581911408,35.63378039791802,-128.5295934352063,103.90194317995922,-0.19969034630492608,1054.6299733249762
Finland,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",105,1.8488755556731968,20.206277429412626,-51.97325492263379,72.11160649122615,0.04711589260520512,1092.8954827387117
Finland,"Assets - Portfolio investment, Debt securities",105,3.2098983696855052,6.459801764643552,-12.118014444707553,25.56648220387529,0.248994839284988,201.24630192813427
Finland,"Assets - Portfolio investment, Equity and investment fund shares",105,3.970608798438328,5.06136227236848,-11.55570066469895,19.810886626309678,-0.3190579623014434,127.47068596531479
Finland,"Assets - Portfolio investment, Total financial assets/liabilities",105,7.180576151808351,8.757066905292975,-17.956545883248022,30.881280753513245,0.3727020958899405,121.95493397960276
