Country,Adoption_Year,Indicator,Pre_Variance,Post_Variance,Variance_Ratio,F_Statistic,P_Value,Significance,Volatility_Decreased,Pre_N,Post_N,Series_Type
"Estonia, Republic of",2011,"Assets - Direct investment, Total financial assets/liabilities",12.337424837255675,75.6861754657503,6.134681788471658,0.16300763992016795,2.7130827937644994e-07,***,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Liabilities - Direct investment, Total financial assets/liabilities",59.26802306738549,78.71517987630621,1.3281222453937773,0.7529427381163307,0.3887048288653583,,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",54.4789499773438,45.10927344492795,0.8280129015645047,1.2077106505351922,0.5489447643065168,,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Assets - Portfolio investment, Total financial assets/liabilities",15.096971697556212,38.94446176603198,2.579620770722914,0.38765387972890275,0.004689498974660634,***,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Total financial assets/liabilities",101.66162727101614,11.714992715275917,0.11523514849949561,8.6779078520854,1.4342593779304025e-10,***,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",135.86348310305104,43.585919637551115,0.3208067292407898,3.1171415960212734,0.0004273843657420784,***,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Assets - Portfolio investment, Debt securities",12.156753764124034,40.28021212099417,3.313401990576273,0.30180461134632147,0.00041772209706226343,***,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Debt securities",58.6954881808314,11.767180812797584,0.20047845545716877,4.988067160232313,9.743030773279315e-07,***,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Assets - Portfolio investment, Equity and investment fund shares",2.259038971836345,6.213219412991851,2.750381684624591,0.3635858999462809,0.0026170311047882806,***,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Equity and investment fund shares",40.06823152344673,0.29410194484076485,0.007340028088553527,136.23926065888753,2.220446049250313e-16,***,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",151.51418333595385,137.0065356107861,0.9042489131661041,1.105890187358519,0.7451987408599081,,True,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",105.78281289150533,148.33213887869363,1.4022328847582113,0.7131483014481087,0.3041906737095079,,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Assets - Other investment, Debt instruments",105.41966692035605,107.85442639128479,1.0230958752010495,0.9774255025742228,0.9532764910285814,,False,36,45,Crisis_Excluded
"Estonia, Republic of",2011,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",100.41829219945383,61.352444321262105,0.6109688083462128,1.636744767227688,0.12178369722415994,,True,36,45,Crisis_Excluded
