Country,Total_Indicators,Significant_5pct,Significant_10pct,Volatility_Decreased,Avg_Variance_Ratio,Pct_Decreased
"Estonia, Republic of",14,10,10,6,1.9330880457829884,42.857142857142854
"Latvia, Republic of",14,8,9,3,3.3010734103489754,21.428571428571427
"Lithuania, Republic of",14,9,10,3,3.5737357613123883,21.428571428571427
