Country,Adoption_Year,Indicator,Pre_Variance,Post_Variance,Variance_Ratio,F_Statistic,P_Value,Significance,Volatility_Decreased,Pre_N,Post_N,Series_Type
"Estonia, Republic of",2011,"Assets - Direct investment, Total financial assets/liabilities",14.151265923243914,107.51032973588295,7.597223479441069,0.13162703489059013,5.937759770507853e-11,***,False,48,57,Full_Series
"Estonia, Republic of",2011,"Liabilities - Direct investment, Total financial assets/liabilities",61.63375566400432,122.893399767695,1.993930086585132,0.5015220978548108,0.016410548746766302,**,False,48,57,Full_Series
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",48.06546079141598,67.63903381413189,1.4072274082143317,0.7106171995817837,0.23085621554348895,,False,48,57,Full_Series
"Estonia, Republic of",2011,"Assets - Portfolio investment, Total financial assets/liabilities",19.408470814997894,76.0186656496204,3.916777698471586,0.2553119112147269,4.30107809374705e-06,***,False,48,57,Full_Series
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Total financial assets/liabilities",92.2369426962467,20.635544530119155,0.2237232059834834,4.469809001726115,1.826804447713215e-07,***,True,48,57,Full_Series
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",120.00873322613026,65.6906871243725,0.5473825559061001,1.826875900976909,0.031207905810867853,**,True,48,57,Full_Series
"Estonia, Republic of",2011,"Assets - Portfolio investment, Debt securities",14.604407799038425,67.20773154534686,4.60187995775987,0.2173024957580132,3.5785741243811036e-07,***,False,48,57,Full_Series
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Debt securities",57.77555610264695,18.53513695050851,0.3208127831357963,3.11708277402622,5.983191816127942e-05,***,True,48,57,Full_Series
"Estonia, Republic of",2011,"Assets - Portfolio investment, Equity and investment fund shares",2.684828760939579,7.183229030300618,2.675488707066288,0.3737634912675503,0.000724101124333268,***,False,48,57,Full_Series
"Estonia, Republic of",2011,"Liabilities - Portfolio investment, Equity and investment fund shares",30.12814371611053,2.7147040420970505,0.09010525400027905,11.098131969051472,1.3322676295501878e-15,***,True,48,57,Full_Series
"Estonia, Republic of",2011,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities",176.5201746713714,147.9557495867368,0.8381803941797976,1.193060595241614,0.52393963855152,,True,48,57,Full_Series
"Estonia, Republic of",2011,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",96.62107377730543,118.85301393534517,1.230094111863013,0.8129459285724661,0.4680743452101276,,False,48,57,Full_Series
"Estonia, Republic of",2011,"Assets - Other investment, Debt instruments",100.78806443293571,117.78903970638139,1.1686804421644401,0.8556658979831667,0.5859171381388718,,False,48,57,Full_Series
"Estonia, Republic of",2011,"Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank",121.95645453480542,55.09096921222999,0.45172655619065627,2.2137286070423956,0.004641915937411589,***,True,48,57,Full_Series
"Latvia, Republic of",2014,"Assets - Direct investment, Total financial assets/liabilities",1.5006010951258353,20.32818172345115,13.546692581712728,0.07381875642102809,3.756634150397079e-18,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Liabilities - Direct investment, Total financial assets/liabilities",10.315314413734205,13.541118888494436,1.3127199371126557,0.7617771100509929,0.327168477914769,,False,60,45,Full_Series
"Latvia, Republic of",2014,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities",7.163167576643587,7.966649478081927,1.1121685194212396,0.8991443135977172,0.6964255343318826,,False,60,45,Full_Series
"Latvia, Republic of",2014,"Assets - Portfolio investment, Total financial assets/liabilities",11.531578422031576,68.73209307517999,5.960336959931207,0.16777574937836096,5.683484301856675e-10,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Liabilities - Portfolio investment, Total financial assets/liabilities",12.795411787172887,37.55893464151346,2.935343955023429,0.34067557850882874,0.00012980841788607186,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities",23.84576231562414,107.8600407598854,4.523237266741257,0.22108059803823754,1.1765896913479217e-07,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Assets - Portfolio investment, Debt securities",9.96474354694008,64.42503533238963,6.465297880362704,0.15467191435020158,1.0559025404666174e-10,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Liabilities - Portfolio investment, Debt securities",12.594049383990333,37.4514775628874,2.9737439024573025,0.33627643563175263,0.00010800081021972773,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Assets - Portfolio investment, Equity and investment fund shares",1.0235184665686936,2.6090575583359468,2.5491064827415495,0.3922943222538533,0.0008531358373869631,***,False,60,45,Full_Series
"Latvia, Republic of",2014,"Liabilities - Portfolio investment, Equity and investment fund shares",0.11146259621421037,0.07211423139825167,0.6469814435298236,1.5456393842521443,0.13288615080358968,,True,60,45,Full_Series
