COUNTRY,YEAR,QUARTER,UNIT,"Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Financial account balance, excluding reserves and related items",Net (net acquisition of financial assets less net incurrence of liabilities) - Financial derivatives (other than reserves) and employee stock options,"Net (net acquisition of financial assets less net incurrence of liabilities) - Other investment, Total financial assets/liabilities","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities","Gross domestic product (GDP), Current prices, US dollar"
Cyprus,2009.0,4.0,"US dollar, Nominal (Current Prices)",-2501193208.930022,-76839444.44597563,-11705790.41705566,-997987221.768848,3434046776.669949,26020000000.0
Cyprus,2010.0,1.0,"US dollar, Nominal (Current Prices)",2108704482.785634,-1415403725.422837,-63823575.28023607,-6073878598.053153,2613593965.124919,25821000000.0
Cyprus,2010.0,2.0,"US dollar, Nominal (Current Prices)",-3771188026.930188,-225351606.797494,-40816534.21022291,-6399788081.096019,9986441035.438936,25821000000.0
Cyprus,2010.0,3.0,"US dollar, Nominal (Current Prices)",1519413998.705891,-311552975.7195834,113525897.9699595,8584932411.061383,-10529425283.45682,25821000000.0
Cyprus,2010.0,4.0,"US dollar, Nominal (Current Prices)",810662577.8967482,-826166337.921203,86496707.8584452,-225119976.66486,-1498205647.011536,25821000000.0
Cyprus,2011.0,1.0,"US dollar, Nominal (Current Prices)",3121973625.167765,-1247367209.294364,119101823.1848287,-221404341.1746316,-4267038316.472327,27637000000.0
Cyprus,2011.0,2.0,"US dollar, Nominal (Current Prices)",-317656758.0632788,-205956499.5507264,-53369048.28898482,8382052503.624481,-8216983196.822944,27637000000.0
Cyprus,2011.0,3.0,"US dollar, Nominal (Current Prices)",2626067390.275617,-400082456.8683366,164964261.1275766,-6147505693.661957,2956391585.390428,27637000000.0
Cyprus,2011.0,4.0,"US dollar, Nominal (Current Prices)",1970850674.531721,529619534.0724702,-132924559.7793005,245073595.8742926,-1553380176.554243,27637000000.0
Cyprus,2012.0,1.0,"US dollar, Nominal (Current Prices)",-593752094.962128,-699410430.994591,334866825.298391,2784348174.403789,-3224873335.734641,25063000000.0
Cyprus,2012.0,2.0,"US dollar, Nominal (Current Prices)",2361372950.611236,-402300284.2348471,175128590.3316241,-2814204981.219251,-124596843.9584575,25063000000.0
Cyprus,2012.0,3.0,"US dollar, Nominal (Current Prices)",2934538576.280896,-87106018.20510137,-45834864.3004425,-1980792641.367463,-995017088.8180912,25063000000.0
Cyprus,2012.0,4.0,"US dollar, Nominal (Current Prices)",1188348532.142275,-265006446.4476458,66074058.33532761,1379309554.218562,-2898738591.143809,25063000000.0
Cyprus,2013.0,1.0,"US dollar, Nominal (Current Prices)",2917245985.50853,-683421316.9732203,76945509.08808114,11610652327.39865,-15288265138.96847,23960000000.0
Cyprus,2013.0,2.0,"US dollar, Nominal (Current Prices)",2995071988.744552,210745737.7729632,-48855109.17692633,-1754734769.462073,-1092501689.52161,23960000000.0
Cyprus,2013.0,3.0,"US dollar, Nominal (Current Prices)",575269129.2475841,238927123.2321836,-83717365.0825729,-421967705.478771,57969350.20958487,23960000000.0
Cyprus,2013.0,4.0,"US dollar, Nominal (Current Prices)",1466311330.993099,1117195870.85781,120590225.0419165,587680672.7331986,-1170960412.247812,23960000000.0
