COUNTRY,GROUP,YEAR,QUARTER,UNIT,"Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Other investment, Debt instruments_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP"
Portugal,Eurozone,1999,1,"US dollar, Nominal (Current Prices), % of GDP",-6.054749876564496,0.10548344732242922,-4.138467249229998,-1.9408954307703161,0.04219337893524142,4.198241203163084,1.9830888096115113,-6.184846129611198,17.01448005517371,0.9493510258078168,12.858432229597874,-5.235495100981998,17.06018954677618
Portugal,Eurozone,1999,2,"US dollar, Nominal (Current Prices), % of GDP",-3.936179759712219,9.147973328526533,0.11596489187049852,-0.9442855480928235,7.650369579222083,2.425322881258964,8.594655128255367,3.6081647781687662,-6.633191814854582,-0.417473610821571,-1.408145115637515,3.1906911667202205,1.0171777659349357
Portugal,Eurozone,1999,3,"US dollar, Nominal (Current Prices), % of GDP",7.179070354318676,14.982693533547026,7.2513869981269155,3.017576275304278,14.384437668597224,0.8086315508985321,11.366861393292945,6.955546186822574,-11.67585068614466,-0.27940521068677165,1.899955432494494,6.672853853930735,2.7085869833930265
Portugal,Eurozone,1999,4,"US dollar, Nominal (Current Prices), % of GDP",-0.2733343646323973,-2.290802294097823,-1.0412737700729642,2.521834911792597,8.80201733583078,-0.8200030938031458,6.28018242435167,1.604212401858978,-8.479873263477982,2.0695316178280057,1.1421471664694312,3.6704900397344766,0.3221440726662852
Portugal,Eurozone,2000,1,"US dollar, Nominal (Current Prices), % of GDP",11.967981442464898,15.692388005865595,15.336574164405265,1.2071067697079,9.567069355627096,0.6185175182457145,8.359962588278918,4.482589327310422,-6.750486895110316,9.50388745807278,2.194739581317737,13.986476785383203,2.8165824625393987
Portugal,Eurozone,2000,2,"US dollar, Nominal (Current Prices), % of GDP",-3.0860712895885656,17.343028562760203,3.6114269514065636,-2.6141949458106493,-3.0263002862006774,-0.1510004300763539,-0.4121053403900285,-1.8654844797653762,5.319619319388495,6.54964365487367,2.4443194619831785,4.684159173422778,2.2933190318394043
Portugal,Eurozone,2000,3,"US dollar, Nominal (Current Prices), % of GDP",-3.094310708085422,9.115094759729644,-1.3335441612027845,-0.1159603618466517,-1.2145322108918066,1.718044308179811,-1.0985718491799963,-2.6152113182423435,6.048248347351211,3.8144855871496235,3.115671827268284,1.1992742685701763,4.833716135448094
Portugal,Eurozone,2000,4,"US dollar, Nominal (Current Prices), % of GDP",18.472758067724047,19.295265596925617,17.275585187682246,2.9212189118306395,15.97596474911089,1.3318182413322321,13.05181876653913,5.014076148258019,-5.634615638220769,4.715514696017125,9.009530873603127,9.729590844275144,10.341349114261154
Portugal,Eurozone,2001,1,"US dollar, Nominal (Current Prices), % of GDP",-6.635339471238848,16.53520522346943,10.05170418650549,2.204694030015213,13.18868618560092,1.3331414313556187,10.983992158217179,3.446732400805888,-6.929906026890342,3.182533530693639,4.925638728670696,6.629265931499527,6.25878015871058
Portugal,Eurozone,2001,2,"US dollar, Nominal (Current Prices), % of GDP",5.923692673820978,8.940069128736482,4.023748609021011,1.8712440037827394,8.5124382155339,-0.12054025791702642,6.64119421076436,-0.6830614616175321,-1.7937538380823157,10.799833108835985,6.839224633855516,10.116771645902718,6.718684376464784
Portugal,Eurozone,2001,3,"US dollar, Nominal (Current Prices), % of GDP",-0.2284153447637844,0.31333899859380787,-0.430475072899963,0.2430573540561654,12.419352270054686,1.475914535422063,12.17629491550512,0.4744011006126393,-10.887798100407057,3.0455379301837917,0.05563963527815469,3.519939032112166,1.5315541706344311
Portugal,Eurozone,2001,4,"US dollar, Nominal (Current Prices), % of GDP",4.3436575272398334,21.859736458204843,12.076193044693886,3.4831772048846674,9.668616247687185,1.1816870207639487,6.185439042802517,-0.8575334737880844,2.796561054232967,3.082405545495662,11.28349028082727,2.227818921919329,12.465177300275482
Portugal,Eurozone,2002,1,"US dollar, Nominal (Current Prices), % of GDP",5.104695691165554,7.2965130155902,6.164160834446919,0.8824537683741649,4.904256341499629,1.533230883444692,4.0244056807720865,-1.7701137535263547,4.771497808463251,1.0100060828507795,8.142523266518188,-0.7601076706755754,9.67575414996288
Portugal,Eurozone,2002,2,"US dollar, Nominal (Current Prices), % of GDP",14.821132721603563,22.932919833704528,19.71603553971789,1.9890658607275427,6.8866971640683,0.6330086141054194,4.8976313021529325,0.05456970812175205,-5.8280448255382336,0.8185456216778026,0.42564372323682265,0.873115329769859,1.058652337342242
Portugal,Eurozone,2002,3,"US dollar, Nominal (Current Prices), % of GDP",-4.02848801484781,0.18404259970304382,5.033419037861915,-0.23078357743132888,9.61403485077951,0.011685244427616927,9.844818429101707,-2.655471795991091,-4.808478081662955,1.2882981980697847,4.793871524870082,-1.3671735979213067,4.802635459539718
Portugal,Eurozone,2002,4,"US dollar, Nominal (Current Prices), % of GDP",-15.841416555308092,-5.303224311804009,-5.585152858203415,6.935442203414996,11.360236525612471,0.11870675575352636,4.424794319227914,-1.4719637713437268,-6.143074610244989,-1.3710630289532293,5.098455159613957,-2.8430268002969563,5.217161915367483
Portugal,Eurozone,2003,1,"US dollar, Nominal (Current Prices), % of GDP",7.055289351938736,11.028599633138603,6.74345335714502,2.0555189231467748,4.63596176892575,-0.6158760870539093,2.5804428465054334,3.313257428943306,7.034500285134849,-1.1979699413384992,12.288936772709388,2.1152874885734176,11.670462054060598
Portugal,Eurozone,2003,2,"US dollar, Nominal (Current Prices), % of GDP",9.412688617005175,24.311063517873897,9.73489006871084,-0.2533549891333959,-0.7022339372219027,1.4925913486091351,-0.4461250895662439,-1.2364825009534766,12.736595918515603,18.395775294366924,10.544524490722523,17.15929279292914,12.034361982020158
Portugal,Eurozone,2003,3,"US dollar, Nominal (Current Prices), % of GDP",16.900177524593637,16.025889532342525,14.696753894118716,6.201725096104368,11.62993682961528,0.4030985130611133,5.428211733510912,-3.0368570414989255,0.8116443032963041,2.892504195901565,12.038482620092623,-0.1443528458879438,12.441581131458667
Portugal,Eurozone,2003,4,"US dollar, Nominal (Current Prices), % of GDP",-12.23643849986379,-4.341776296879257,-7.710395837394437,15.887215916699457,24.326039739685807,0.5009741879710627,8.438823822986349,-2.2601421700517603,-8.38699890668039,4.9838294227684115,15.438066645276507,2.723687252474498,15.93904083300542
