COUNTRY,YEAR,QUARTER,UNIT,"Gross domestic product (GDP), Current prices, US dollar","Assets - Direct investment, Total financial assets/liabilities_PGDP","Assets - Other investment, Debt instruments_PGDP","Assets - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Assets - Portfolio investment, Debt securities_PGDP","Assets - Portfolio investment, Equity and investment fund shares_PGDP","Assets - Portfolio investment, Total financial assets/liabilities_PGDP","Liabilities - Direct investment, Total financial assets/liabilities_PGDP","Liabilities - Other investment, Debt instruments, Deposit taking corporations, except the Central Bank_PGDP","Liabilities - Portfolio investment, Debt securities_PGDP","Liabilities - Portfolio investment, Equity and investment fund shares_PGDP","Liabilities - Portfolio investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Direct investment, Total financial assets/liabilities_PGDP","Net (net acquisition of financial assets less net incurrence of liabilities) - Portfolio investment, Total financial assets/liabilities_PGDP",EURO_PERIOD
"Latvia, Republic of",2008,3,% of GDP (annualized),34296000000,1.544693258689032e-06,-3.2824731747141943e-06,-8.56602625273009e-06,1.4569265962635188e-06,-1.59735325614434e-06,-1.2287332739571845e-07,5.529299732807331e-06,6.003239709905103e-06,4.037266471573607e-07,-3.5106664970205286e-08,3.6861998218715544e-07,-3.9846064741182995e-06,-4.914933095828739e-07,Pre-Euro
"Latvia, Republic of",2008,4,% of GDP (annualized),34296000000,-1.1989762290062983e-06,3.888986999212737e-06,1.8906932842022407e-06,-2.3364664975507352e-06,-1.5678919917774667e-06,-3.919729979443669e-06,-3.6584146474807567e-06,-1.2573878914450666e-05,-2.9666975922848157e-06,-5.226306639258224e-07,-3.4893282562106382e-06,2.459438418474458e-06,-4.304017232330302e-07,Pre-Euro
"Latvia, Republic of",2009,1,% of GDP (annualized),25758000000,-5.462726697946751e-07,-8.659433432300775e-06,-1.4162624772454538e-05,-1.6590503304875316e-06,6.069696331051944e-07,-1.0520806973823371e-06,3.8441410096662324e-07,-3.8097460637902725e-05,-1.8209088993155835e-07,6.069696331051945e-08,-1.213939266210389e-07,-9.306867707612983e-07,-9.306867707612983e-07,Pre-Euro
"Latvia, Republic of",2009,2,% of GDP (annualized),25758000000,-2.730822945079348e-06,1.505127995311175e-05,6.4777660557696136e-06,-1.1007968460784968e-06,-5.927367632730366e-07,-1.6935336093515333e-06,-4.784232446418083e-06,-1.509361829334554e-05,-3.810450621040951e-07,-1.27015020701365e-07,-5.0806008280546e-07,2.053409501338734e-06,-1.1854735265460733e-06,Pre-Euro
"Latvia, Republic of",2009,3,% of GDP (annualized),25758000000,8.662454736039367e-07,3.842576075217463e-06,2.3544107744106998e-06,-5.552855600025234e-07,1.1549939648052489e-06,5.774969824026244e-07,1.932393748808782e-06,-4.753244393621601e-06,3.5538275840161506e-07,-6.663426720030282e-07,-3.109599136014131e-07,-1.066148275204845e-06,8.884568960040376e-07,Pre-Euro
"Latvia, Republic of",2009,4,% of GDP (annualized),25758000000,-5.967314232471562e-07,6.541094447132288e-06,9.754263649232358e-06,-1.6983894353957514e-06,1.400023723772174e-06,-2.75414503037149e-07,1.3770725151857447e-07,-6.724704115823721e-06,5.049265889014398e-07,6.196826318335852e-07,1.124609220735025e-06,-7.344386747657306e-07,-1.400023723772174e-06,Pre-Euro
"Latvia, Republic of",2010,1,% of GDP (annualized),23509000000,2.211805623918375e-06,-1.0541371484206723e-05,-9.623707448751228e-06,-1.670619141470262e-06,1.4588505179036091e-06,-2.1176862356665295e-07,5.176566353851516e-07,-2.5082816969116884e-05,2.3529847062961432e-08,-2.3529847062961432e-08,2.3529847062961432e-08,1.6941489885332236e-06,-2.3529847062961436e-07,Pre-Euro
"Latvia, Republic of",2010,2,% of GDP (annualized),23509000000,-7.135101653065025e-07,-6.270240846632901e-07,-3.913495149105362e-06,-1.4486418507738082e-06,1.2972912096481865e-06,-1.5135064112562177e-07,1.3189127298089896e-06,-9.232389108662928e-06,2.1621520160803116e-07,1.2972912096481864e-07,3.459443225728497e-07,-2.0324228951154925e-06,-4.972949636984716e-07,Pre-Euro
"Latvia, Republic of",2010,3,% of GDP (annualized),23509000000,9.445692107600362e-07,-3.295008874744313e-07,8.567023074335213e-07,1.9550385990149593e-06,5.272014199590901e-07,2.46027329314242e-06,3.448775955565714e-06,-4.722846053800179e-06,8.786690332651501e-08,2.416339841479163e-07,3.295008874744313e-07,-2.504206744805678e-06,2.130772405667989e-06,Pre-Euro
"Latvia, Republic of",2010,4,% of GDP (annualized),23509000000,-6.93318999686775e-07,2.4890152088755232e-05,2.715499415439869e-05,1.4328592660193351e-06,1.7332974992169382e-06,3.189267398559167e-06,2.7963866320699935e-06,2.313374395621539e-05,-1.0630891328530551e-06,0.0,-1.0630891328530551e-06,-3.4897056317567668e-06,4.2523565314122206e-06,Pre-Euro
"Latvia, Republic of",2011,1,% of GDP (annualized),26832000000,2.2432736564549778e-07,-1.0767713550983893e-05,-7.810671003838696e-06,6.464706809965709e-06,1.42753778138044e-06,7.871851194469286e-06,5.852904903659805e-06,-1.5152293879509525e-05,-2.447207625223612e-06,2.0393396876863433e-08,-2.4268142283467488e-06,-5.628577538014308e-06,1.0298665422816033e-05,Pre-Euro
"Latvia, Republic of",2011,2,% of GDP (annualized),26832000000,6.650405344009973e-07,4.633830820342433e-06,4.569472058948789e-06,1.2871752278728977e-07,7.937580571882871e-07,9.224755799755769e-07,5.813741445892589e-06,-1.2871752278728981e-06,5.341777195672527e-06,4.719642502200626e-07,5.813741445892589e-06,-5.1487009114915925e-06,-4.8912658659170125e-06,Pre-Euro
"Latvia, Republic of",2011,3,% of GDP (annualized),26832000000,1.2004184962324243e-06,-3.180056016335018e-06,-4.928033826638373e-06,3.938215066587077e-06,1.1372385753780862e-06,5.0754536419651625e-06,7.307810845485109e-06,-2.3165970979923973e-06,-3.3695957788980337e-07,-2.10599736181127e-08,-3.5801955150791604e-07,-6.107392349252685e-06,5.433473193473078e-06,Pre-Euro
"Latvia, Republic of",2011,4,% of GDP (annualized),26832000000,-4.823451475849732e-07,1.4952699575134167e-05,1.5455142437201848e-05,-1.266156012410555e-06,4.622474331022661e-07,-8.039085793082888e-07,3.6778817503354217e-06,-8.119476651013716e-06,4.2205200413685163e-07,1.004885724135361e-07,5.225405765503877e-07,-4.160226897920395e-06,-1.3264491558586765e-06,Pre-Euro
"Latvia, Republic of",2012,1,% of GDP (annualized),27136000000,8.888246099419604e-07,3.574620713897015e-06,1.2173032701379027e-06,9.351980678519757e-06,8.115355134252683e-07,1.0163516191945027e-05,5.178369466618378e-06,7.748231925798397e-06,1.3796103728229564e-05,3.864454825834611e-08,1.3834748276487905e-05,-4.289544856676418e-06,-3.67123208454288e-06,Pre-Euro
"Latvia, Republic of",2012,2,% of GDP (annualized),27136000000,1.3033320574025806e-06,8.499991678712483e-07,1.7944426877281899e-06,3.1355524859250485e-06,3.77777407942777e-07,3.494441023470687e-06,2.1911089660681055e-06,-4.249995839356241e-06,-5.855549823113042e-07,-9.444435198569422e-08,-6.799993342969985e-07,-8.877769086655259e-07,4.174440357767686e-06,Pre-Euro
"Latvia, Republic of",2012,3,% of GDP (annualized),27136000000,1.1794760522496232e-06,-1.5296330052612293e-06,-2.5063866110304496e-06,-7.003139060232138e-07,2.0272244648040404e-07,-4.975914595428098e-07,5.178637041908501e-06,-2.322093477866446e-06,8.846070391872172e-07,1.8429313316400356e-08,9.030363525036176e-07,-3.999160989658878e-06,-1.4006278120464276e-06,Pre-Euro
"Latvia, Republic of",2012,4,% of GDP (annualized),27136000000,-9.939279923349054e-07,4.071281968602593e-06,1.0283331920695752e-05,-2.2936799823113206e-07,1.0703839917452827e-06,8.219019936615564e-07,3.3831779739091964e-06,3.4214059736143855e-06,1.8884631854363208e-05,9.556999926297166e-08,1.8980201853626178e-05,-4.377105966244102e-06,-1.8158299859964622e-05,Pre-Euro
"Latvia, Republic of",2015,1,% of GDP (annualized),26347000000,2.0174571244219394e-06,-1.973004679307558e-05,-1.3694772514084524e-05,1.8516153099567465e-05,1.3164762591566898e-06,1.9849726452998914e-05,4.49653579426246e-06,-4.513632888537222e-06,-1.829389087399555e-06,3.932331683195307e-07,-1.4361559190800251e-06,-2.4790786698405194e-06,2.1268785277804182e-05,Post-Euro
"Latvia, Republic of",2015,2,% of GDP (annualized),26347000000,-3.3560434743747675e-07,-6.611405644518292e-06,-8.843174554977513e-06,7.668559338946344e-06,5.705273906437104e-07,8.239086729590056e-06,2.1143073888561033e-06,2.3827908668060852e-06,-6.359702383940185e-06,1.2081756507749165e-06,-5.151526733165268e-06,-2.44991173629358e-06,1.3390613462755325e-05,Post-Euro
"Latvia, Republic of",2015,3,% of GDP (annualized),26347000000,1.5526898698144001e-06,9.164245644665427e-06,5.41753748054807e-06,9.788697005351654e-07,-2.7003302083728697e-07,7.088366796978783e-07,5.164381523513113e-06,-5.78883288419934e-06,8.978597942839791e-06,1.0126238281398261e-07,9.079860325653773e-06,-3.6116916536987134e-06,-8.354146582153565e-06,Post-Euro
"Latvia, Republic of",2015,4,% of GDP (annualized),26347000000,-1.0475888482414003e-06,-2.5075618780127485e-05,-3.545173689604233e-05,1.754295610943933e-05,-6.651357766612066e-08,1.74764425317732e-05,5.653654101620256e-07,8.31419720826508e-07,-9.644468761587495e-07,-3.491962827471334e-07,-1.2970147644893528e-06,-1.629582652819957e-06,1.8773457296262555e-05,Post-Euro
"Latvia, Republic of",2016,1,% of GDP (annualized),27110000000,3.251927035613425e-07,1.5072681810068228e-05,1.0991513380373378e-05,1.999935126902256e-05,7.479432181910879e-07,2.0763554122391724e-05,-8.780202996156248e-07,-8.113557953855496e-06,-9.918377458620949e-07,-1.625963517806713e-08,-1.008097381040162e-06,1.2032130031769674e-06,2.1771651503431884e-05,Post-Euro
"Latvia, Republic of",2016,2,% of GDP (annualized),27110000000,2.149337729478222e-06,1.257945725392293e-05,3.2656604261839643e-06,4.981798303209213e-06,-1.3829072212921895e-06,3.6155526147036764e-06,-2.99907590159752e-07,-1.3279241630962351e-05,9.597042885112064e-06,-2.6658452458644617e-07,9.34711989331227e-06,2.449245319637974e-06,-5.731567278608594e-06,Post-Euro
"Latvia, Republic of",2016,3,% of GDP (annualized),27110000000,1.4004197265908958e-06,-8.040056783251262e-06,-2.1484086158523864e-05,2.405426824497303e-06,1.4992728837620183e-06,3.904699708259322e-06,4.1847836535775e-06,-1.3608784637224469e-05,4.9426578585561024e-08,-2.8008394531817916e-07,-2.3065736673261807e-07,-2.7843639269866043e-06,4.13535707499194e-06,Post-Euro
"Latvia, Republic of",2016,4,% of GDP (annualized),27110000000,-2.547122832902988e-07,-1.2449062845813354e-05,-8.660217631870158e-06,4.0117184618222056e-06,1.7511469476208042e-06,5.76286540944301e-06,1.9421811600885286e-06,-1.7622906100147545e-05,7.402575733124308e-06,-1.5919517705643674e-08,7.386656215418665e-06,-2.196893443378827e-06,-1.6397103236812987e-06,Post-Euro
"Latvia, Republic of",2017,1,% of GDP (annualized),29381000000,1.5946041528669414e-06,6.871294258717547e-06,6.465395019805962e-06,8.407912806025691e-07,2.145467405675521e-06,2.9717622848883902e-06,2.406402630690111e-06,-5.653596541982792e-07,-3.3051795168514785e-06,2.3194242223519148e-07,-3.0732370946162865e-06,-8.1179847782317e-07,6.059495780894377e-06,Post-Euro
"Latvia, Republic of",2017,2,% of GDP (annualized),29381000000,1.2303830761815676e-06,1.0713335565776088e-05,2.190682062469619e-06,-2.7008408989351485e-06,1.0503270162525576e-06,-1.650513882682591e-06,2.2206914057911222e-06,4.336350109956987e-06,3.0759576904539177e-06,2.1006540325051153e-07,3.2860230937044296e-06,-9.903083296095542e-07,-4.93653697638702e-06,Post-Euro
"Latvia, Republic of",2017,3,% of GDP (annualized),29381000000,2.558622657761575e-07,-8.379489204169157e-06,-9.802723057549033e-06,1.5415701513013485e-05,1.8869842100991609e-06,1.7302685723112652e-05,6.5404791689030245e-06,-2.1252559451032083e-05,1.759053077211082e-07,1.5991391611009837e-08,1.9189669933211803e-07,-6.284616903126867e-06,1.7110789023780527e-05,Post-Euro
"Latvia, Republic of",2017,4,% of GDP (annualized),29381000000,4.7767052565554435e-06,-7.309320795266047e-06,-1.5965095421239006e-05,1.4570553953721138e-05,3.318046939956298e-06,1.7872571681407113e-05,5.0331726528805685e-06,1.2053967627280852e-05,1.6029212270320277e-07,8.01460613516014e-08,2.404381840548043e-07,-2.724966085954448e-07,1.7648162709622625e-05,Post-Euro
"Latvia, Republic of",2018,1,% of GDP (annualized),33263000000,5.321433939898965e-07,-1.2372333910265099e-05,-3.665876714152621e-06,-1.9467579163463717e-05,5.321433939898965e-07,-1.8935435769473817e-05,1.670338986690509e-06,-3.495886463294737e-05,-6.770046512427017e-06,-1.7738113132996554e-07,-6.9474276437569825e-06,-1.123413831756448e-06,-1.1988008125716833e-05,Post-Euro
"Latvia, Republic of",2018,2,% of GDP (annualized),33263000000,-2.5504050117176307e-06,3.8112793995330884e-06,-1.0316244991217382e-05,-5.2870755579989076e-06,1.5617648667259645e-06,-3.7396388093163014e-06,-2.5217487756309162e-06,-1.8655209692451432e-05,8.324636583190694e-06,-1.4328118043357471e-08,8.29598034710398e-06,-2.8656236086714953e-08,-1.2035619156420274e-05,Post-Euro
"Latvia, Republic of",2018,3,% of GDP (annualized),33263000000,-1.6361660704085077e-06,8.642313089850071e-06,-1.2306206341534076e-06,3.132488886935948e-06,1.789993649677685e-06,4.9364668620017385e-06,5.593730155242765e-07,-8.810124994507355e-07,5.258106345928198e-06,1.957805554334968e-07,5.453886901361695e-06,-2.1955390859327855e-06,-5.314043647480626e-07,Post-Euro
"Latvia, Republic of",2018,4,% of GDP (annualized),33263000000,-1.2353320506268227e-07,-7.411992303760936e-06,-2.2373236028019124e-06,3.5138333884496298e-06,2.388308631211857e-06,5.902142019661487e-06,5.572720139494335e-06,3.1981374199561073e-06,1.166702492258666e-06,-1.3725911673631361e-08,1.1392506689114032e-06,-5.682527432883385e-06,4.749165439076452e-06,Post-Euro
"Latvia, Republic of",2019,1,% of GDP (annualized),33103000000,1.3724090608964746e-07,1.2351681548068273e-05,5.695497602720367e-06,2.250750859870217e-06,1.7017872355116284e-06,3.9525380953818455e-06,2.497784490831583e-06,-8.385419362077457e-06,9.977413872717367e-06,2.3330954035240056e-07,1.0210723413069767e-05,-2.360543584741935e-06,-6.271909408296888e-06,Post-Euro
"Latvia, Republic of",2019,2,% of GDP (annualized),33103000000,2.308298341540042e-07,-1.56421158203184e-05,-5.254773283388214e-06,-2.0774685073860376e-06,2.3354547926169833e-06,2.5798628523094583e-07,1.317087877231671e-06,-1.6158088390780293e-06,3.4624475123100637e-06,3.6661208953871267e-07,3.842637827387247e-06,-1.0862580430776668e-06,-3.5710733166178307e-06,Post-Euro
"Latvia, Republic of",2019,3,% of GDP (annualized),33103000000,1.3436152907499624e-08,5.9656518909298305e-06,-3.130623627447411e-06,-3.0903151687249122e-06,1.4914129727324583e-06,-1.598902195992455e-06,5.1460465635723545e-06,-4.044282025157385e-06,1.706391419252452e-06,-3.4933997559499003e-07,1.3704875965649616e-06,-5.132610410664855e-06,-2.9693897925574156e-06,Post-Euro
"Latvia, Republic of",2019,4,% of GDP (annualized),33103000000,6.956411805576533e-07,-1.9665241065764433e-06,-2.8628310122949582e-06,3.652116197927679e-06,4.147091653324471e-07,4.066825363260127e-06,4.5216676736247454e-06,-2.996608162402199e-06,-6.019971754825846e-07,8.02662900643446e-08,-5.217308854182399e-07,-3.839404208077816e-06,4.588556248678367e-06,Post-Euro
"Latvia, Republic of",2020,1,% of GDP (annualized),33353000000,8.066718698467901e-07,-5.540910056816478e-06,6.08309934638563e-07,-3.993686962192306e-06,3.279583995442688e-06,-7.141029667496175e-07,2.7373947058735332e-06,-7.656770699037566e-06,-6.810426442149129e-06,-1.322412901388181e-08,-6.823650571163011e-06,-1.9307228360267445e-06,6.109547604413395e-06,Post-Euro
"Latvia, Republic of",2020,2,% of GDP (annualized),33353000000,-5.283664573385544e-08,3.817447654271056e-06,3.579682748468705e-06,2.5757864795254515e-05,1.0303145918101809e-06,2.678817938706471e-05,1.3869619505137048e-06,2.113465829354217e-06,1.2931769043361113e-05,0.0,1.2931769043361113e-05,-1.4530077576810242e-06,1.3856410343703584e-05,Post-Euro
"Latvia, Republic of",2020,3,% of GDP (annualized),33353000000,6.869141570109963e-07,1.878499939581092e-06,-1.962611877174275e-07,1.0752309355661925e-05,3.897186441817489e-06,1.4649495797479411e-05,4.065410317003855e-06,1.4018656265530538e-07,-7.401850508200123e-06,7.009328132765269e-08,-7.331757226872471e-06,-3.3784961599928595e-06,2.1981253024351886e-05,Post-Euro
"Latvia, Republic of",2020,4,% of GDP (annualized),33353000000,9.299121518304501e-07,-8.583804478434924e-07,-4.992912938289647e-06,4.3491276024070285e-06,2.6609793883148263e-06,7.010106990721853e-06,3.075863271439181e-06,-3.819792992903541e-06,-8.526579115245356e-06,7.153170398695768e-08,-8.4550474112584e-06,-2.131644778811339e-06,1.5465154401980258e-05,Post-Euro
"Lithuania, Republic of",2008,1,% of GDP (annualized),48004000000,3.732465001572571e-06,1.209089047149336e-06,1.3886616695920956e-06,8.550601869199349e-07,-6.019863312466092e-07,2.530738556733257e-07,4.105586711860166e-06,4.518391600700088e-06,-1.3291369017636055e-06,3.144704715467361e-08,-1.2976898546089317e-06,-3.7312171028759564e-07,1.5507637102822582e-06,Pre-Euro
"Lithuania, Republic of",2008,2,% of GDP (annualized),48004000000,-6.101233220148318e-07,-2.9128930182901405e-06,-4.350399279226728e-06,2.2638478116406946e-06,7.292320994083822e-07,2.9930799110490778e-06,1.0235544444212974e-06,8.705484805432872e-06,3.732075024997914e-07,6.378502833097237e-08,4.3699253083076384e-07,-1.6336777664361294e-06,2.5560873802183134e-06,Pre-Euro
"Lithuania, Republic of",2008,3,% of GDP (annualized),48004000000,1.0104131417078701e-06,4.139972525016781e-06,5.467166552408414e-06,4.514691957488311e-07,-3.6681872154592525e-07,8.465047420290584e-08,6.031753863314313e-06,1.207868210793019e-05,-8.319574012771516e-07,-3.6242943769836714e-08,-8.682003450469886e-07,-5.021340721606444e-06,9.528508192498942e-07,Pre-Euro
"Lithuania, Republic of",2008,4,% of GDP (annualized),48004000000,4.900174878655946e-07,4.840432719669194e-06,-1.4780693341961095e-06,-3.877968967169404e-06,-5.408642150914508e-07,-4.418833182260853e-06,3.2320068731251567e-06,7.0388123862074e-06,-2.015199664350888e-07,-3.788795009270062e-08,-2.394079165277894e-07,-2.7419893852595628e-06,-4.179425265733065e-06,Pre-Euro
"Lithuania, Republic of",2009,1,% of GDP (annualized),37591000000,6.669746468358387e-07,2.4269503569960906e-06,4.452690024334538e-06,-5.844866163084383e-07,4.6623066666159345e-07,-1.1825594964684483e-07,-3.668568510615249e-06,-5.063655991619e-06,8.526073743588459e-07,-2.7449798393992114e-07,5.781093904189249e-07,4.335543157451087e-06,-6.963653400657696e-07,Pre-Euro
"Lithuania, Republic of",2009,2,% of GDP (annualized),37591000000,5.806398431505056e-06,-4.0184530152635484e-06,-1.343932685500371e-06,4.316540621167839e-06,1.4364776453869584e-06,5.753018266554799e-06,6.637707467727681e-07,-5.458121866163837e-06,7.031096074643711e-06,8.659771324810807e-08,7.117693787891818e-06,5.142627684732288e-06,-1.36467552133702e-06,Pre-Euro
"Lithuania, Republic of",2009,3,% of GDP (annualized),37591000000,9.87907403851471e-07,5.8154278079132176e-06,4.5677209989817184e-06,-5.541474129445702e-07,6.074161837576983e-07,5.326877081312814e-08,-1.2321827671516724e-06,-1.4991354071694642e-06,1.17921838931462e-06,2.6938778382639087e-07,1.4486061731410105e-06,2.220090171003143e-06,-1.3953374023278815e-06,Pre-Euro
"Lithuania, Republic of",2009,4,% of GDP (annualized),37591000000,-1.0289890188936551e-06,3.3066671421760648e-06,5.2577045513759265e-06,4.152913498689401e-06,9.418638597209386e-07,5.094777358410339e-06,4.041726698084508e-07,-1.499826589375958e-05,1.539284536012122e-05,-1.053679722846934e-07,1.5287477387836535e-05,-1.4331616887021063e-06,-1.0192700029426194e-05,Pre-Euro
"Lithuania, Republic of",2010,1,% of GDP (annualized),36693000000,7.31309666693901e-07,6.6319882204077695e-06,-4.656351613105448e-06,8.345764409023781e-07,-1.2910608092283171e-06,-4.5648436832593943e-07,4.6979598316186435e-06,-1.6693940888686005e-05,2.1965069005765427e-05,4.616100184326376e-07,2.2426679024198063e-05,-3.966650164924742e-06,-2.2883163392524002e-05,Pre-Euro
"Lithuania, Republic of",2010,2,% of GDP (annualized),36693000000,9.901972226872615e-07,1.970558966525783e-06,5.052527042959219e-06,-3.7453780511745242e-06,2.025693059227173e-06,-1.7196849919473512e-06,-1.922074211637627e-06,1.4872352242264191e-06,-1.6868538864945143e-06,-1.90614350646009e-07,-1.8774682371405229e-06,2.912271434324888e-06,1.5778324519317165e-07,Pre-Euro
"Lithuania, Republic of",2010,3,% of GDP (annualized),36693000000,-2.0210204340849526e-07,8.337412988523164e-07,-4.038803857725341e-06,1.0756726446874162e-06,2.450979864873917e-06,3.5266525095613334e-06,6.347636742207489e-06,-4.001789346989662e-06,7.273562468937634e-06,3.1835294024374396e-07,7.591915409181379e-06,-6.549738785615986e-06,-4.065262899620047e-06,Pre-Euro
"Lithuania, Republic of",2010,4,% of GDP (annualized),36693000000,-3.547722120229363e-07,2.8679394718999393e-06,-1.7491336146189256e-06,-3.8260909677264917e-07,1.6564427111438181e-06,1.2738336143711696e-06,2.8972570420086787e-06,-8.781944864390799e-06,-1.1684088168084268e-06,-1.908603427786164e-07,-1.3592691595870426e-06,-3.2520292540316146e-06,2.6331027739582124e-06,Pre-Euro
"Lithuania, Republic of",2011,1,% of GDP (annualized),43201000000,9.557968996666735e-07,-5.0762619066977575e-06,-5.6382644038911104e-06,7.064359990075457e-06,6.757456214844559e-07,7.740105611559912e-06,4.285633196424849e-06,-5.213944285433205e-06,5.580759528135919e-06,3.2754979890511776e-07,5.9083093270410365e-06,-3.329836296758175e-06,1.831796284518876e-06,Pre-Euro
"Lithuania, Republic of",2011,2,% of GDP (annualized),43201000000,1.6110458082429693e-06,6.481491381703002e-06,6.696279723683619e-06,-7.351037733914865e-07,1.105253906159576e-06,3.701501327680894e-07,5.2184773037660986e-06,2.4849891922695717e-06,-9.593523959432124e-08,-3.185849414861418e-07,-4.1452018108046305e-07,-3.6074314955231292e-06,7.846703138485525e-07,Pre-Euro
"Lithuania, Republic of",2011,3,% of GDP (annualized),43201000000,5.335446550409424e-07,-1.4490335103073207e-06,2.844830277638014e-06,-2.932206553579997e-06,7.18238220355434e-07,-2.213968333224562e-06,4.137031220797971e-06,2.9038223441796808e-08,-7.760530616224347e-07,4.438139285496243e-07,-3.322391330728104e-07,-3.6034865657570295e-06,-1.8817292001517523e-06,Pre-Euro
"Lithuania, Republic of",2011,4,% of GDP (annualized),43201000000,4.449181965839912e-06,6.763710260613183e-06,2.1043208927455392e-06,-8.486811791249046e-06,-6.509688845454968e-07,-9.137780675794545e-06,3.7733726578956513e-06,-1.970007849644685e-06,7.981889617138494e-06,-3.7185739349204887e-07,7.610032223646446e-06,6.758093079442607e-07,-1.6747812899440985e-05,Pre-Euro
"Lithuania, Republic of",2012,1,% of GDP (annualized),42736000000,2.107205760591e-06,1.0316413180744938e-05,7.053464871986991e-06,-7.517234174754619e-07,3.630405732511656e-07,-3.886828442242962e-07,4.157605916107552e-06,-4.199443305590029e-06,1.5170041121879138e-05,6.332045956570686e-07,1.5803245717536203e-05,-2.0504001555165526e-06,-1.6191928561760504e-05,Pre-Euro
"Lithuania, Republic of",2012,2,% of GDP (annualized),42736000000,-1.91301613959971e-06,-9.191592782091744e-06,-3.8483408059684184e-06,5.465589058404938e-07,1.0810040417687888e-06,1.6275629476092831e-06,-5.542349580620852e-06,-7.01950988001333e-06,-2.2532811419849373e-06,-1.5013878392168756e-06,-3.7546689812018122e-06,3.6293334410211417e-06,5.382231928811095e-06,Pre-Euro
"Lithuania, Republic of",2012,3,% of GDP (annualized),42736000000,2.8774115357255652e-06,-3.279259159202795e-06,-1.9526003044091576e-06,6.427923691789228e-07,3.5410335138092486e-07,9.968957205598474e-07,6.728665797886047e-06,-1.0390230194683517e-06,2.5498717867119467e-06,-9.712682803905073e-08,2.4527449586728966e-06,-3.8512542621604824e-06,-1.4558492381130486e-06,Pre-Euro
"Lithuania, Republic of",2012,4,% of GDP (annualized),42736000000,8.772465766566827e-07,-7.644958752573941e-07,-4.380649963730812e-06,2.582707132160239e-07,3.4711195479221256e-08,2.929819086952451e-07,9.943665194449646e-07,-2.0202886711437657e-06,-7.376735878416322e-07,4.6981481713309614e-07,-2.67858770708536e-07,-1.1711994278828154e-07,5.608406794037811e-07,Pre-Euro
"Lithuania, Republic of",2013,1,% of GDP (annualized),46321000000,1.0538574631028787e-06,7.633139441387832e-06,2.5259050914690675e-06,-5.87199662105478e-07,1.8497530626045543e-07,-4.0222435584502244e-07,4.7610043685335964e-06,-1.7060607778399586e-07,-4.175971494849172e-06,-1.353672555679165e-07,-4.311338750417088e-06,-3.7071469054307174e-06,3.9091143945720665e-06,Pre-Euro
"Lithuania, Republic of",2013,2,% of GDP (annualized),46321000000,1.6529453169274002e-06,-6.926488339787358e-06,-5.290237161450442e-08,1.6347848012985402e-06,-1.0772231320224287e-07,1.5270624880962973e-06,1.3059779500058307e-06,-3.3180728430965193e-06,-3.431773462685903e-06,-2.853795313106539e-07,-3.7171529939965574e-06,3.4696736692156975e-07,5.244215482092855e-06,Pre-Euro
"Lithuania, Republic of",2013,3,% of GDP (annualized),46321000000,4.432129687889495e-07,-8.90656814730941e-07,-4.7054214823697836e-07,1.8398598214174912e-07,7.657887647006176e-07,9.497747468423669e-07,1.8912020874098132e-06,2.044542797199798e-06,-8.351980196167405e-07,2.249225772982104e-07,-6.102754423185302e-07,-1.4479891186208631e-06,1.560050189160897e-06,Pre-Euro
"Lithuania, Republic of",2013,4,% of GDP (annualized),46321000000,-2.8429523231903436e-07,4.383717306945011e-08,-6.224996101795078e-06,4.477385475675176e-06,1.0036714692040318e-07,4.57775262259558e-06,-1.3205213850089583e-06,-4.770965256714014e-06,-1.0885251929470425e-06,7.004545616459052e-08,-1.018479736782452e-06,1.0362261526899237e-06,5.5962323593780326e-06,Pre-Euro
"Lithuania, Republic of",2016,1,% of GDP (annualized),42952000000,4.257845424149199e-06,-4.831729384038382e-06,1.0944435089131262e-05,2.367168708655919e-06,2.6149075997811854e-07,2.628659468634038e-06,-3.49769547942474e-06,1.1475421428270508e-05,-9.99381149820611e-06,4.825469204933726e-07,-9.511264577712731e-06,7.755540903573938e-06,1.2139924046346769e-05,Post-Euro
"Lithuania, Republic of",2016,2,% of GDP (annualized),42952000000,9.195412742668143e-07,-5.905928403799667e-07,-2.1298569793830957e-06,1.0495957909509145e-05,-1.1273424588449508e-07,1.0383223663624651e-05,5.3208040156454414e-06,5.569408266831028e-07,-3.0013389715890765e-07,2.6395798243477866e-08,-2.737380989154298e-07,-4.401262741378628e-06,1.0656961762540072e-05,Post-Euro
"Lithuania, Republic of",2016,3,% of GDP (annualized),42952000000,2.0984884465816886e-06,6.0328943126083585e-06,2.542103496785726e-06,6.403509417842111e-06,-7.43413969505079e-07,5.660095448337033e-06,4.333097873172072e-06,4.377708950653912e-06,5.905820334326752e-06,-1.2114663232248102e-07,5.784673702004271e-06,-2.234609426590382e-06,-1.24578253667237e-07,Post-Euro
"Lithuania, Republic of",2016,4,% of GDP (annualized),42952000000,1.2258458570031664e-06,8.720486564217034e-06,3.5198857554654036e-06,8.506064018410088e-06,1.4040959021116597e-06,9.910159920521746e-06,4.809837322039719e-06,-4.2135939355268675e-06,-2.0493731229046375e-06,1.0550312703715775e-07,-1.94386999586748e-06,-3.583991465036552e-06,1.1854029916389224e-05,Post-Euro
