COUNTRY,country_sd_net_capital_flows_pgdp,mean_overall_restrictions_index
Angola,8.869583935686522,0.8740079365079365
Argentina,5.052566913117191,0.5821428571428572
Australia,2.892923171989836,0.2726190476190476
Austria,3.806304940414982,0.21
"Bahrain, Kingdom of",1.0316233562599566,0.275
Bangladesh,1.8875256420961848,0.8421957671957672
Belgium,3.947834328122508,0.07083333333333333
Bolivia,9.582472793163394,0.18214285714285716
Brazil,3.268259446094031,0.6003968253968254
Brunei Darussalam,22.65150758778963,0.05
Bulgaria,14.42773218142821,0.10238095238095243
Canada,2.5889616196704495,0.05714285714285714
Chile,5.894012316579247,0.2940476190476191
"China, People's Republic of",3.3206499720611498,0.94
Colombia,2.3721321937449806,0.5992063492063492
Costa Rica,4.671891893190403,0.04761904761904762
Cyprus,13.810347183398257,0.3197368421052631
Czech Republic,9.510145706617468,0.2678571428571429
Denmark,11.13880899670033,0.05357142857142857
Dominican Republic,4.410304262684656,0.2861111111111111
Ecuador,6.789117344011254,0.394047619047619
"Egypt, Arab Republic of",5.211725947372773,0.24166666666666667
El Salvador,7.269843658609538,0.1178571428571429
"Eswatini, Kingdom of",7.276821134901376,0.8
"Ethiopia, The Federal Democratic Republic of",4.600756690673567,0.8139219576719576
Finland,7.532139344651475,0.17261904761904762
France,2.710427971820506,0.05357142857142857
Georgia,6.5470671611267885,0.06190476190476191
Germany,4.0450160989232415,0.21666666666666665
Ghana,7.0652440305609465,0.325
Greece,6.47212879150243,0.20833333333333337
Guatemala,3.8518763210676576,0.01666666666666666
Hungary,10.108740259403543,0.14933862433862438
Iceland,31.696280042394932,0.5202380952380954
India,2.1600401684224395,0.9607142857142856
Indonesia,3.196181785164655,0.6636243386243387
Ireland,22.48043487562989,0.05
Israel,5.341575320001812,0.06785714285714285
Italy,3.3112595323936067,0.025
Jamaica,10.354600778155609,0.728125
Japan,2.667339286710805,0
"Kazakhstan, Republic of",7.425196803106133,0.43452380952380953
"Korea, Republic of",3.6368642154949535,0.26666666666666666
Kuwait,15.964308486272708,0.42
Kyrgyz Republic,10.678917590855992,0.28359788359788357
"Latvia, Republic of",11.72613641599315,0.05952380952380953
Lebanon,25.061755048052664,0.7388888888888889
Malaysia,8.642103273962443,0.8226190476190476
Malta,16.605568611363825,0.23809523809523803
Mauritius,67.61379865583535,0.1225
Mexico,2.369795129924835,0.5857142857142857
"Moldova, Republic of",10.58520862571578,0.65
Morocco,3.784961402128711,0.7749999999999999
Myanmar,3.483159705065602,0.7948412698412698
"Netherlands, The",6.767681661045035,0
New Zealand,6.943852932685829,0.1
Nicaragua,16.863351258482393,0.05238095238095239
Nigeria,4.951033693326882,0.20416666666666664
Norway,8.321874067899714,0.06190476190476192
Pakistan,2.6693724392130656,0.7273809523809524
Panama,8.229496470665717,0
Paraguay,5.2195934139601885,0.12625000000000006
Peru,4.970362350770336,0.00833333333333333
Philippines,4.593365013939564,0.8642857142857142
"Poland, Republic of",4.482540618132776,0.6825
Portugal,5.473959048292259,0.19880952380952385
Qatar,15.194839245006344,0.18333333333333335
Romania,7.054844459740955,0.23095238095238105
Russian Federation,6.0251106882188665,0.561904761904762
Saudi Arabia,4.767204153635325,0.7339285714285714
Singapore,8.568829862699493,0.1404761904761905
"Slovenia, Republic of",5.5073555470076405,0.3071428571428571
South Africa,3.3450356982523,0.6523809523809524
Spain,4.509381296296,0.01428571428571428
Sri Lanka,4.285309881468875,0.9904761904761904
Sweden,6.730378202992882,0.09285714285714286
Switzerland,16.999878986882212,0.2190476190476191
"Tanzania, United Republic of",3.805297365454942,0.9
Thailand,5.662973784869637,0.7523809523809524
Tunisia,5.181821604570736,0.9375
"Türkiye, Republic of",4.229079663536926,0.4797619047619047
Uganda,11.700919112604728,0.05641025641025642
Ukraine,8.396082915592183,0.7773809523809524
United Kingdom,5.7276621746969365,0.0238095238095238
United States,2.130774293453964,0.13690476190476192
Uruguay,7.942872584122989,0.00374999999999999
"Uzbekistan, Republic of",4.248722413373106,0.9113888888888888
"Venezuela, República Bolivariana de",8.86624161302348,0.4267361111111111
Vietnam,5.528442667742971,0.9104497354497354
"Yemen, Republic of",4.500785978752833,0.08472222222222221
Zambia,14.929363127902596,0
