COUNTRY,YEAR,yearly_sd_net_capital_flows_pgdp,mean_overall_restrictions_index
Angola,2012,12.165729572651536,0.8888888888888888
Angola,2013,9.351550622101511,0.8888888888888888
Angola,2014,7.383810289124401,0.875
Angola,2015,12.343430502237576,0.875
Angola,2016,7.257556780015673,0.8660714285714286
Angola,2017,4.443432954695817,0.8660714285714286
Angola,2018,6.2579961373804895,0.8660714285714286
Angola,2019,8.255042485061587,0.8660714285714286
Argentina,1999,3.628569692194406,0.175
Argentina,2000,1.8993877796057568,0.175
Argentina,2001,4.274420986378511,0.275
Argentina,2002,5.791413668735569,0.425
Argentina,2003,0.9570943662746993,0.575
Argentina,2004,1.0640343491792417,0.775
Argentina,2005,1.086643021203089,0.7
Argentina,2006,7.471150900582673,0.45
Argentina,2007,4.1906530932147295,0.675
Argentina,2008,2.656195003699518,0.75
Argentina,2009,2.479845494729137,0.7749999999999999
Argentina,2010,0.9472671985558218,0.7749999999999999
Argentina,2011,0.19982073176977516,0.825
Argentina,2012,1.3505126801840783,0.9
Argentina,2013,1.3601979503388717,0.9
Argentina,2014,2.0079307667439155,0.9
Argentina,2015,2.3978751740272783,0.9
Argentina,2016,2.537787512396031,0.9
Argentina,2017,3.3989404618799415,0.075
Argentina,2018,7.72867770412918,0.175
Argentina,2019,6.81004945164965,0.125
Australia,1999,2.979095207245288,0.32499999999999996
Australia,2000,2.855746831820052,0.35
Australia,2001,1.6840601254885679,0.35
Australia,2002,2.2900794968881657,0.35
Australia,2003,3.2848250764256615,0.32499999999999996
Australia,2004,4.186027512350627,0.32499999999999996
Australia,2005,2.2078024715900604,0.32499999999999996
Australia,2006,1.9772043159564041,0.3
Australia,2007,4.899874580380694,0.325
Australia,2008,2.3038859536696785,0.325
Australia,2009,3.9484171983503167,0.325
Australia,2010,1.3300164874723281,0.35
Australia,2011,1.1100572429691284,0.125
Australia,2012,2.820448351363049,0.175
Australia,2013,1.8642793166111142,0.175
Australia,2014,1.128488570374231,0.175
Australia,2015,1.5448513427092694,0.175
Australia,2016,0.7905170338625717,0.175
Australia,2017,3.0454817743339304,0.225
Australia,2018,2.6117323612387193,0.225
Australia,2019,2.5452199221727954,0.30000000000000004
Austria,2005,1.0424176534239042,0.25
Austria,2006,6.311240590288269,0.25
Austria,2007,4.1768566172952495,0.25
Austria,2008,6.250038043597296,0.25
Austria,2009,4.463646924812511,0.25
Austria,2010,3.677941245004829,0.1
Austria,2011,6.790048629370109,0.2
Austria,2012,2.209717815367181,0.2
Austria,2013,3.4743964875409894,0.2
Austria,2014,0.9328040507318217,0.2
Austria,2015,4.3034696901178435,0.2
Austria,2016,3.3686892436427494,0.2
Austria,2017,3.2697418173888106,0.2
Austria,2018,2.9111507432225148,0.2
Austria,2019,2.569933504837504,0.2
"Bahrain, Kingdom of",2011,1.0316233562599566,0.275
Bangladesh,1999,0.7205380780503282,0.8055555555555556
Bangladesh,2000,0.7733817759232017,0.8055555555555556
Bangladesh,2001,1.5424626107477128,0.8
Bangladesh,2002,0.9562328717992403,0.8
Bangladesh,2003,1.4444836272966382,0.8
Bangladesh,2004,1.1403517341631861,0.8
Bangladesh,2005,1.252407653630254,0.8
Bangladesh,2006,1.1319760535069354,0.8
Bangladesh,2007,0.9542619381735268,0.825
Bangladesh,2008,1.5561079526496804,0.825
Bangladesh,2009,1.7201203371975842,0.85
Bangladesh,2010,2.33451589901699,0.85
Bangladesh,2011,3.722026536017919,0.85
Bangladesh,2012,1.8711522419103535,0.85
Bangladesh,2013,2.729729001113345,0.825
Bangladesh,2014,2.2362559745460007,0.85
Bangladesh,2015,1.8465920953107695,0.85
Bangladesh,2016,1.795905718773181,0.9
Bangladesh,2017,1.1248365988480022,0.95
Bangladesh,2018,2.0801477732068943,0.925
Bangladesh,2019,1.1596379167890454,0.925
Belgium,2002,3.856124154151183,0
Belgium,2003,3.4452836013392902,0
Belgium,2004,3.6768495871878693,0
Belgium,2005,5.549234961769786,0.175
Belgium,2006,4.269848038707936,0.15
Belgium,2007,3.987969782271486,0.15
Belgium,2008,7.137499391624268,0.15
Belgium,2009,4.280431301892388,0.15
Belgium,2010,0.629715214396153,0.15
Belgium,2011,3.472325575038436,0.175
Belgium,2012,6.996493159383921,0.175
Belgium,2013,2.013098593178555,0
Belgium,2014,4.524331040926895,0
Belgium,2015,4.830526935120779,0
Belgium,2016,2.505974509086908,0
Belgium,2017,1.5676442822119099,0
Belgium,2018,1.5295267021754895,0
Belgium,2019,1.2016336859584025,0
Bolivia,1999,6.413409344587113,0.1
Bolivia,2000,6.130723107431958,0.1
Bolivia,2001,6.819299067784625,0.1
Bolivia,2002,9.54204230707977,0.1
Bolivia,2003,11.7372737280595,0.1
Bolivia,2004,5.6184257033872615,0.1
Bolivia,2005,8.829043680420291,0.1
Bolivia,2006,22.32700453419068,0.1
Bolivia,2007,23.946177345080937,0.30000000000000004
Bolivia,2008,5.859788640068025,0.30000000000000004
Bolivia,2009,1.2979790024902906,0.30000000000000004
Bolivia,2010,1.1023772234254987,0.2
Bolivia,2011,5.255354791860016,0.325
Bolivia,2012,4.579806706179901,0.2
Bolivia,2013,2.1562377586337784,0.2
Bolivia,2014,2.3508398717604058,0.2
Bolivia,2015,4.1679972817717745,0.2
Bolivia,2016,3.1394864482403997,0.2
Bolivia,2017,2.8699468752595,0.2
Bolivia,2018,6.4928009318636,0.2
Bolivia,2019,5.789040878526517,0.2
Brazil,1999,5.871824808142953,0.875
Brazil,2000,4.065653276964079,0.85
Brazil,2001,2.4944818561128987,0.8416666666666667
Brazil,2002,5.004178362919025,0.45
